Entity,Code,Year,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Rate)
Latin America & Caribbean (WB),,1990,10.32
Latin America & Caribbean (WB),,1995,7.83
Latin America & Caribbean (WB),,2000,5.56
Latin America & Caribbean (WB),,2005,4.25
Latin America & Caribbean (WB),,2010,3.62
Latin America & Caribbean (WB),,2015,3.19
Latin America & Caribbean (WB),,2019,2.96
Myanmar,MMR,1990,90.65
Myanmar,MMR,1995,86.23
Myanmar,MMR,2000,78.76
Myanmar,MMR,2005,64.29
Myanmar,MMR,2010,44.17
Myanmar,MMR,2015,31.78
Myanmar,MMR,2019,26.18
Puerto Rico,PRI,1990,2.36
Puerto Rico,PRI,1995,1.93
Puerto Rico,PRI,2000,1.14
Puerto Rico,PRI,2005,0.77
Puerto Rico,PRI,2010,0.56
Puerto Rico,PRI,2015,0.49
Puerto Rico,PRI,2019,0.59
Romania,ROU,1990,6.85
Romania,ROU,1995,11.36
Romania,ROU,2000,9.99
Romania,ROU,2005,9.01
Romania,ROU,2010,7.27
Romania,ROU,2015,5.45
Romania,ROU,2019,4.89
Suriname,SUR,1990,3.89
Suriname,SUR,1995,3.01
Suriname,SUR,2000,2.64
Suriname,SUR,2005,2.21
Suriname,SUR,2010,1.9
Suriname,SUR,2015,1.81
Suriname,SUR,2019,1.77
World Bank Lower Middle Income,,1990,60.12
World Bank Lower Middle Income,,1995,53.55
World Bank Lower Middle Income,,2000,48.97
World Bank Lower Middle Income,,2005,39.57
World Bank Lower Middle Income,,2010,32.69
World Bank Lower Middle Income,,2015,28.4
World Bank Lower Middle Income,,2019,24.96
