Entity,Code,Year,Death rate in ongoing conflicts (best estimate) - Conflict type: one-sided violence,Death rate in ongoing conflicts (best estimate) - Conflict type: non-state conflict,Death rate in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Death rate in ongoing conflicts (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts (best estimate) - Conflict type: interstate
World,OWID_WRL,1989,0.15343331,0.080057174,0,1.0362892,0.016664179
World,OWID_WRL,1991,0.1806611,0.07160405,0,0.89874214,0.40604693
World,OWID_WRL,1993,0.19390884,0.21406573,0,0.8081813,0.0
World,OWID_WRL,1995,0.34980613,0.07749798,0,0.62874997,0.0017287743
World,OWID_WRL,1997,0.3360542,0.059532415,0,0.6871698,0.0021564795
World,OWID_WRL,1999,0.20372212,0.0945469,0,0.5371983,0.79548323
World,OWID_WRL,2001,0.13749889,0.08251221,0,0.35107124,0.023259878
World,OWID_WRL,2003,0.18411915,0.05441381,0,0.22921564,0.12805833
World,OWID_WRL,2005,0.072424635,0.033199724,0,0.18561871,0.0
World,OWID_WRL,2007,0.06799227,0.062177144,0,0.2864622,0.0
World,OWID_WRL,2009,0.081600495,0.1075068,0,0.5030504,0.0
World,OWID_WRL,2011,0.09507856,0.098055966,0,0.35503462,0.00041116585
World,OWID_WRL,2013,0.1594694,0.077452615,0,1.2925043,0.00042875553
World,OWID_WRL,2015,0.14738196,0.17322613,0,1.3981371,0.0008506701
World,OWID_WRL,2017,0.12207579,0.29711443,0,0.94610053,0.001992374
World,OWID_WRL,2019,0.070366696,0.26351675,0,0.6731261,0.0038999342
World,OWID_WRL,2022,0.14894214,0.26575977,0,1.5374888,1.0275575
