Entity,Code,Year,"Number of new cases of tuberculosis per 100 people, in both sexes aged all ages"
Brazil,BRA,1990,0.428581
Brazil,BRA,1995,0.450314
Brazil,BRA,2000,0.36766805
Brazil,BRA,2005,0.35630673
Brazil,BRA,2010,0.31241897
Brazil,BRA,2015,0.29876132
Brazil,BRA,2019,0.29834729
Burkina Faso,BFA,1990,1.9374129
Burkina Faso,BFA,1995,1.7837262
Burkina Faso,BFA,2000,1.7206696
Burkina Faso,BFA,2005,1.6872038
Burkina Faso,BFA,2010,1.7110728
Burkina Faso,BFA,2015,1.6187264
Burkina Faso,BFA,2019,1.4799188
Cook Islands,COK,1990,0.22606583
Cook Islands,COK,1995,0.21317147
Cook Islands,COK,2000,0.2089347
Cook Islands,COK,2005,0.2048828499999999
Cook Islands,COK,2010,0.2097252399999999
Cook Islands,COK,2015,0.19504955
Cook Islands,COK,2019,0.19884288
Costa Rica,CRI,1990,0.16093636
Costa Rica,CRI,1995,0.1463163999999999
Costa Rica,CRI,2000,0.13454214
Costa Rica,CRI,2005,0.1163333199999999
Costa Rica,CRI,2010,0.10914722
Costa Rica,CRI,2015,0.0828878
Costa Rica,CRI,2019,0.08188091
Marshall Islands,MHL,1990,1.355298
Marshall Islands,MHL,1995,1.3157754
Marshall Islands,MHL,2000,1.3682973
Marshall Islands,MHL,2005,1.3383682
Marshall Islands,MHL,2010,1.2425528
Marshall Islands,MHL,2015,1.1203757
Marshall Islands,MHL,2019,1.04775555
Trinidad and Tobago,TTO,1990,0.1631542299999999
Trinidad and Tobago,TTO,1995,0.13520216
Trinidad and Tobago,TTO,2000,0.12514708
Trinidad and Tobago,TTO,2005,0.127146505
Trinidad and Tobago,TTO,2010,0.12380081
Trinidad and Tobago,TTO,2015,0.1163264699999999
Trinidad and Tobago,TTO,2019,0.10962598
