Entity,Code,Year,Children that died before five years age per woman
Brazil,BRA,1950,1.3174492
Brazil,BRA,2000,0.078299426
Brazil,BRA,2021,0.02364266
China,CHN,1950,1.8434768
China,CHN,2000,0.05971935
China,CHN,2021,0.008071865
France,FRA,1816,1.0545906
France,FRA,1850,0.83110857
France,FRA,1900,0.627144
France,FRA,1950,0.17066905
France,FRA,2000,0.01011963
France,FRA,2021,0.0077933073
India,IND,1950,1.5293628
India,IND,2000,0.3069546
India,IND,2021,0.062181503
Kenya,KEN,1950,2.3437183
Kenya,KEN,2000,0.507649
Kenya,KEN,2021,0.12390771
Nigeria,NGA,2000,1.1172776
Nigeria,NGA,2021,0.5804049
Philippines,PHL,1950,1.299711
Philippines,PHL,2000,0.14003435
Philippines,PHL,2021,0.07072194
United States,USA,1950,0.11036297
United States,USA,2000,0.017290188
United States,USA,2021,0.010375208
