Entity,Code,Year,Expected years of schooling,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,12.1721,,32353592.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,21.57801,,25357168.0,
Belgium,BEL,2019,19.60422,0.07855247,11510569.0,
Brazil,BRA,2019,15.59906,5.388581,211782880.0,
Canada,CAN,2019,16.39626,0.24863754,37522584.0,
Chad,TCD,2019,8.035914,,16126868.0,
China,CHN,2019,14.2361145,0.14242858,1421864064.0,
Colombia,COL,2019,14.51506,5.2847376,50187404.0,
Cote d'Ivoire,CIV,2019,10.48436,,26147544.0,
Djibouti,DJI,2019,7.43298,,1073999.0,
Egypt,EGY,2019,13.7865,1.4670148,105618672.0,
Ethiopia,ETH,2019,9.651072,,114120592.0,
Europe,,2019,,,747418251.0,
Fiji,FJI,2019,14.685485,1.3182689,918472.0,
Finland,FIN,2019,19.05193,0.03882923,5521539.0,
France,FRA,2019,15.81207,0.051448993,64399760.0,
Gabon,GAB,2019,12.97731,,2242788.0,
Germany,DEU,2019,17.01014,0.0,83148144.0,
Ghana,GHA,2019,11.86731,,31522294.0,
Guinea,GIN,2019,9.805298,,12877537.0,
Hungary,HUN,2019,15.033628,0.30170247,9771799.0,
India,IND,2019,11.46362,12.731296,1383112064.0,
Indonesia,IDN,2019,13.748894,4.380574,269582880.0,
Iran,IRN,2019,14.68141,0.92208225,86564208.0,
Israel,ISR,2019,16.05089,,8607922.0,
Kenya,KEN,2019,10.698559,,50951452.0,
Kiribati,KIR,2019,11.801993,1.6780767,124252.0,
Laos,LAO,2019,10.47854,,7212058.0,
Malaysia,MYS,2019,13.48632,,32804024.0,
Mexico,MEX,2019,14.86444,,125085312.0,
Myanmar,MMR,2019,10.909138,,53040212.0,
Netherlands,NLD,2019,18.693165,0.0957287,17363260.0,
Niger,NER,2019,6.957112,,23443400.0,
Nigeria,NGA,2019,10.1275835,,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,8.65835,,223293280.0,
Palestine,PSE,2019,13.40559,,4909775.0,
Philippines,PHL,2019,13.39021,,110380800.0,
Poland,POL,2019,16.02715,0.0,38493600.0,
Russia,RUS,2019,15.76637,0.030001637,145742288.0,
Senegal,SEN,2019,8.84401,,16000783.0,
Serbia,SRB,2019,14.65697,0.045231834,7401056.0,
Seychelles,SYC,2019,14.19275,,104386.0,
Slovenia,SVN,2019,17.65492,0.0,2112905.0,
South Africa,ZAF,2019,13.64371,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,5.54251,,10447677.0,
Spain,ESP,2019,17.9169,0.79381347,47131372.0,
Sudan,SDN,2019,7.945188,,43232092.0,
Sweden,SWE,2019,19.41853,0.3165186,10267922.0,
Tajikistan,TJK,2019,11.653036,,9337008.0,
Thailand,THA,2019,15.882219,0.0950376,71307768.0,
Togo,TGO,2019,12.950494,,8243093.0,
Tonga,TON,2019,15.959019,,104965.0,
Turkey,TUR,2019,18.33822,0.3606098,83481688.0,
Ukraine,UKR,2019,14.956569,0.0,44211100.0,
United Kingdom,GBR,2019,17.30972,0.49803847,66778660.0,
United States,USA,2019,16.28098,0.99917054,334319680.0,
Uruguay,URY,2019,16.8326,0.102072,3428412.0,
Vietnam,VNM,2019,12.951933,,95776712.0,
