Entity,Code,Year,Deaths - Cardiovascular diseases - Sex: Both - Age: All Ages (Number)
East Asia & Pacific (WB),,1990,3612721
East Asia & Pacific (WB),,1995,3835809
East Asia & Pacific (WB),,2000,4330529
East Asia & Pacific (WB),,2005,5030785
East Asia & Pacific (WB),,2010,5602064
East Asia & Pacific (WB),,2015,6137124
East Asia & Pacific (WB),,2019,6737347
Europe & Central Asia (WB),,1990,4036227
Europe & Central Asia (WB),,1995,4503425
Europe & Central Asia (WB),,2000,4398806
Europe & Central Asia (WB),,2005,4449978
Europe & Central Asia (WB),,2010,4147008
Europe & Central Asia (WB),,2015,4087572
Europe & Central Asia (WB),,2019,4185904
Latin America & Caribbean (WB),,1990,691657
Latin America & Caribbean (WB),,1995,733158
Latin America & Caribbean (WB),,2000,752829
Latin America & Caribbean (WB),,2005,809270
Latin America & Caribbean (WB),,2010,894858
Latin America & Caribbean (WB),,2015,989234
Latin America & Caribbean (WB),,2019,1099697
Middle East & North Africa (WB),,1990,529295
Middle East & North Africa (WB),,1995,589787
Middle East & North Africa (WB),,2000,642141
Middle East & North Africa (WB),,2005,717330
Middle East & North Africa (WB),,2010,792966
Middle East & North Africa (WB),,2015,903229
Middle East & North Africa (WB),,2019,997507
North America (WB),,1990,954324
North America (WB),,1995,986663
North America (WB),,2000,994343
North America (WB),,2005,936535
North America (WB),,2010,888406
North America (WB),,2015,948593
North America (WB),,2019,1040308
South Asia (WB),,1990,1610080
South Asia (WB),,1995,1773532
South Asia (WB),,2000,2045950
South Asia (WB),,2005,2213538
South Asia (WB),,2010,2606228
South Asia (WB),,2015,3015114
South Asia (WB),,2019,3397086
Sub-Saharan Africa (WB),,1990,618542
Sub-Saharan Africa (WB),,1995,696213
Sub-Saharan Africa (WB),,2000,780841
Sub-Saharan Africa (WB),,2005,825707
Sub-Saharan Africa (WB),,2010,893811
Sub-Saharan Africa (WB),,2015,995301
Sub-Saharan Africa (WB),,2019,1080282
