Entity,Code,Year,Deaths - Cause: All Causes - Sex: Both sexes - Age group: ALLAges
Benin,BEN,2000,81396.15
Benin,BEN,2005,85275.59
Benin,BEN,2010,87042.9
Benin,BEN,2015,91219.33
Benin,BEN,2019,93440.12
Mauritius,MUS,2000,7813.28
Mauritius,MUS,2005,8584.7
Mauritius,MUS,2010,9159.07
Mauritius,MUS,2015,10072.22
Mauritius,MUS,2019,11386.9
Spain,ESP,2000,363849.5
Spain,ESP,2005,389659.2
Spain,ESP,2010,387352.3
Spain,ESP,2015,427426.9
Spain,ESP,2019,426747.4
Sri Lanka,LKA,2000,118830.8
Sri Lanka,LKA,2005,126691.3
Sri Lanka,LKA,2010,136774.7
Sri Lanka,LKA,2015,131936.2
Sri Lanka,LKA,2019,145996.8
