Entity,Code,Year,"Alcohol consumption since 1890 (Alexander & Holmes, 2017)"
Australia,AUS,1890,5.9
Australia,AUS,1920,3.8
Australia,AUS,1960,7.1
Australia,AUS,1980,9.7
Australia,AUS,2000,8.1
Australia,AUS,2014,7.3
Belgium,BEL,1890,13.1
Belgium,BEL,1920,10.7
Belgium,BEL,1960,8.9
Belgium,BEL,1980,11.5
Belgium,BEL,2000,10.0
Belgium,BEL,2014,9.6
France,FRA,1890,16.3
France,FRA,1920,22.1
France,FRA,1960,17.7
France,FRA,1980,13.3
France,FRA,2000,10.3
France,FRA,2014,9.2
Germany,DEU,1890,9.8
Germany,DEU,1920,4.4
Germany,DEU,1960,10.3
Germany,DEU,1980,12.7
Germany,DEU,2000,10.2
Germany,DEU,2014,9.6
Italy,ITA,1890,11.8
Italy,ITA,1920,14.5
Italy,ITA,1960,14.3
Italy,ITA,1980,10.8
Italy,ITA,2000,7.5
Italy,ITA,2014,6.1
United Kingdom,GBR,1890,8.7
United Kingdom,GBR,1920,4.5
United Kingdom,GBR,1960,5.7
United Kingdom,GBR,1980,8.0
United Kingdom,GBR,2000,8.8
United Kingdom,GBR,2014,8.0
United States,USA,1890,5.3
United States,USA,1960,5.8
United States,USA,1980,7.7
United States,USA,2000,6.7
United States,USA,2014,7.0
