Entity,Code,Year,Terrorism non-fatal injuries
Afghanistan,AFG,1970,0
Afghanistan,AFG,1980,0
Afghanistan,AFG,1990,122
Afghanistan,AFG,2000,11
Afghanistan,AFG,2010,1701
Afghanistan,AFG,2021,3796
Iraq,IRQ,1970,0
Iraq,IRQ,1980,9
Iraq,IRQ,1990,0
Iraq,IRQ,2000,29
Iraq,IRQ,2010,6917
Iraq,IRQ,2021,546
Peru,PER,1970,0
Peru,PER,1980,5
Peru,PER,1990,237
Peru,PER,2000,6
Peru,PER,2010,0
Peru,PER,2021,0
Syria,SYR,1970,0
Syria,SYR,1980,27
Syria,SYR,1990,0
Syria,SYR,2000,0
Syria,SYR,2010,0
Syria,SYR,2021,365
United States,USA,1970,160
United States,USA,1980,22
United States,USA,1990,7
United States,USA,2000,10
United States,USA,2010,17
United States,USA,2021,197
