Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - Neoplasms - Sex: Both - Age: Age-standardized (Rate)
Albania,ALB,1990,3248.25
Albania,ALB,1995,2875.41
Albania,ALB,2000,2997.14
Albania,ALB,2005,3052.06
Albania,ALB,2010,2805.27
Albania,ALB,2015,2945.18
Albania,ALB,2019,2926.16
Brunei,BRN,1990,5357.53
Brunei,BRN,1995,4581.82
Brunei,BRN,2000,4418.28
Brunei,BRN,2005,4596.53
Brunei,BRN,2010,4602.51
Brunei,BRN,2015,4717.3
Brunei,BRN,2019,4618.88
Lebanon,LBN,1990,3365.7
Lebanon,LBN,1995,3170.14
Lebanon,LBN,2000,3160.53
Lebanon,LBN,2005,3366.22
Lebanon,LBN,2010,3513.68
Lebanon,LBN,2015,3588.12
Lebanon,LBN,2019,3531.68
Malta,MLT,1990,3466.62
Malta,MLT,1995,3250.9
Malta,MLT,2000,3135.3
Malta,MLT,2005,2989.41
Malta,MLT,2010,2874.49
Malta,MLT,2015,2672.9
Malta,MLT,2019,2604.44
Mauritius,MUS,1990,2375.37
Mauritius,MUS,1995,2358.0
Mauritius,MUS,2000,2352.8
Mauritius,MUS,2005,2380.66
Mauritius,MUS,2010,2322.74
Mauritius,MUS,2015,2307.37
Mauritius,MUS,2019,2320.76
Sudan,SDN,1990,2276.24
Sudan,SDN,1995,2213.74
Sudan,SDN,2000,2144.32
Sudan,SDN,2005,2214.08
Sudan,SDN,2010,2232.6
Sudan,SDN,2015,2269.72
Sudan,SDN,2019,2279.31
