Entity,Code,Year,Fertility rate - Sex: all - Age: all - Variant: estimates,"GDP per capita (output, multiple price benchmarks)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,5.4423,7159.579,32353592.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,5.1299,3245.0645,12290443.0,
Botswana,BWA,2019,2.8834,16484.375,2499705.0,
Burundi,BDI,2019,5.2713,790.046,11874838.0,
Cambodia,KHM,2019,2.4019,4500.0527,16207746.0,
Canada,CAN,2019,1.4517,49884.055,37522584.0,
Central African Republic,CAF,2019,6.0081,978.34937,5209329.0,
Chile,CHL,2019,1.5452,23252.557,19039484.0,
China,CHN,2019,1.4961,14128.812,1421864064.0,
Congo,COG,2019,4.2964,4657.116,5570736.0,
Democratic Republic of Congo,COD,2019,6.2525,1021.6937,89906896.0,
Djibouti,DJI,2019,2.8915,6132.4233,1073999.0,
Dominican Republic,DOM,2019,2.3441,17926.738,10881886.0,
Equatorial Guinea,GNQ,2019,4.4286,24712.76,1553037.0,
Ethiopia,ETH,2019,4.3226,2720.7412,114120592.0,
Europe,,2019,,,747418251.0,
France,FRA,2019,1.83,43755.062,64399760.0,
Gabon,GAB,2019,3.6155,15492.227,2242788.0,
Haiti,HTI,2019,2.9192,1554.0212,11160441.0,
India,IND,2019,2.109,6711.385,1383112064.0,
Indonesia,IDN,2019,2.2148,11595.102,269582880.0,
Iraq,IRQ,2019,3.6045,11920.252,41563524.0,
Israel,ISR,2019,3.2151,38562.625,8607922.0,
Jamaica,JAM,2019,1.3695,8434.522,2813776.0,
Japan,JPN,2019,1.2859,39704.234,125791680.0,
Kazakhstan,KAZ,2019,2.9083,28306.396,18754260.0,
Kuwait,KWT,2019,2.159,62054.52,4441105.0,
Kyrgyzstan,KGZ,2019,3.1434,6135.855,6323643.0,
Lesotho,LSO,2019,3.0942,2694.87,2225710.0,
Malawi,MWI,2019,4.0716,1161.3806,18867340.0,
Mexico,MEX,2019,1.9165,18736.527,125085312.0,
Mozambique,MOZ,2019,4.7826,1228.8705,30285602.0,
Nepal,NPL,2019,2.0805,3631.0178,28832500.0,
Niger,NER,2019,6.9614,1210.8782,23443400.0,
Nigeria,NGA,2019,5.3793,4983.6753,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Pakistan,PAK,2019,3.62,5026.2085,223293280.0,
Palestine,PSE,2019,3.6423,7386.203,4909775.0,
Philippines,PHL,2019,2.8047,8448.533,110380800.0,
Russia,RUS,2019,1.5021,28526.293,145742288.0,
Rwanda,RWA,2019,3.9389,2279.5068,12835029.0,
Sao Tome and Principe,STP,2019,3.964,3784.7568,214612.0,
Saudi Arabia,SAU,2019,2.5038,51824.88,35827364.0,
Singapore,SGP,2019,0.9621,82336.34,5866408.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,0.9141,42219.47,51803832.0,
Sri Lanka,LKA,2019,2.0187,13290.122,21649664.0,
Sudan,SDN,2019,4.6169,4230.835,43232092.0,
Switzerland,CHE,2019,1.4875,75298.82,8575593.0,
Tajikistan,TJK,2019,3.2811,3893.754,9337008.0,
Tanzania,TZA,2019,4.864,2358.761,59872584.0,
Thailand,THA,2019,1.3523,17116.309,71307768.0,
Togo,TGO,2019,4.3851,2235.2266,8243093.0,
Turkey,TUR,2019,1.9665,26947.576,83481688.0,
Ukraine,UKR,2019,1.2289,13144.867,44211100.0,
United States,USA,2019,1.6892,62589.0,334319680.0,
Vietnam,VNM,2019,1.9481,7506.817,95776712.0,
Yemen,YEM,2019,3.9626,1777.2511,31546694.0,
Zimbabwe,ZWE,2019,3.5994,2787.659,15354606.0,
