Entity,Code,Year,Value added to GDP (%) - USA,Share of CO2 emissions (%) - USA
Electrical & Optical Equipment,,2009,2.0,0.3
"Electricity, Gas & Water",,2009,1.9,48.5
Financial Intermediation,,2009,9.1,0.7
Health & Social Work,,2009,7.4,2.1
Hotels & Restaurants,,2009,2.9,1.5
"IT, Research & Development",,2009,13.4,2.5
"Other Community, Social & Personal Services",,2009,3.6,1.2
Public Admin & Defence,,2009,12.6,6.1
"Pulp, Paper, & Printing",,2009,1.2,1.5
Real Estate Activities,,2009,11.9,0.2
Wholesale & Commission Trade,,2009,5.6,0.7
Wood & Products,,2009,0.1,0.3
