Entity,Code,Year,Deaths - Lower respiratory infections - Sex: Both - Age: Under 5 (Rate),"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Algeria,DZA,2019,17.88,11627.28,42705372.0,
Asia,,2019,,,4627738749.0,
Azerbaijan,AZE,2019,173.17,14442.041,10232761.0,
Bahamas,BHS,2019,19.39,35161.832,404563.0,
Bangladesh,BGD,2019,89.6,5467.208,165516224.0,
Bermuda,BMU,2019,4.43,81681.73,63833.0,
Botswana,BWA,2019,121.79,15117.995,2499705.0,
Brazil,BRA,2019,31.52,14685.128,211782880.0,
Brunei,BRN,2019,12.54,61424.363,438058.0,
Bulgaria,BGR,2019,20.91,23270.225,7052536.0,
Burkina Faso,BFA,2019,408.23,2110.0623,20951638.0,
Burundi,BDI,2019,121.18,729.65845,11874838.0,
Canada,CAN,2019,1.59,49171.51,37522584.0,
Chad,TCD,2019,412.59,1561.9967,16126868.0,
Chile,CHL,2019,4.98,24816.611,19039484.0,
China,CHN,2019,18.1,15977.764,1421864064.0,
Cote d'Ivoire,CIV,2019,222.37,5126.6343,26147544.0,
Croatia,HRV,2019,1.37,29352.79,4129749.0,
Ethiopia,ETH,2019,117.46,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Finland,FIN,2019,0.39,48583.434,5521539.0,
Gambia,GMB,2019,87.64,2083.309,2508882.0,
Germany,DEU,2019,0.87,53874.316,83148144.0,
Guatemala,GTM,2019,120.48,8671.703,17106338.0,
Honduras,HND,2019,21.14,5613.6606,9958832.0,
India,IND,2019,109.77,6608.624,1383112064.0,
Indonesia,IDN,2019,45.75,11857.789,269582880.0,
Iran,IRN,2019,8.2,14084.354,86564208.0,
Ireland,IRL,2019,0.94,86681.27,4896021.0,
Italy,ITA,2019,0.98,42739.05,59727936.0,
Jamaica,JAM,2019,10.32,10244.366,2813776.0,
Japan,JPN,2019,2.37,41697.41,125791680.0,
Jordan,JOR,2019,25.32,9551.165,10698682.0,
Kiribati,KIR,2019,48.07,1990.518,124252.0,
Kuwait,KWT,2019,10.23,47314.797,4441105.0,
Laos,LAO,2019,189.13,7840.0713,7212058.0,
Lebanon,LBN,2019,7.82,17172.197,5781912.0,
Lesotho,LSO,2019,241.55,2533.1191,2225710.0,
Liberia,LBR,2019,88.92,1455.6377,4985290.0,
Lithuania,LTU,2019,5.77,37184.453,2849083.0,
Malaysia,MYS,2019,7.55,27674.402,32804024.0,
Malta,MLT,2019,3.27,45433.918,503646.0,
Micronesia (country),FSM,2019,37.95,3540.7825,111392.0,
Mozambique,MOZ,2019,144.41,1285.1848,30285602.0,
Nepal,NPL,2019,114.85,3922.0813,28832500.0,
Nicaragua,NIC,2019,49.95,5348.9873,6663919.0,
Niger,NER,2019,358.34,1217.446,23443400.0,
Nigeria,NGA,2019,386.15,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Norway,NOR,2019,0.54,64385.008,5348285.0,
Oceania,,2019,,,43278474.0,
Palestine,PSE,2019,7.98,6245.4487,4909775.0,
Philippines,PHL,2019,76.0,8731.861,110380800.0,
Poland,POL,2019,3.41,33159.75,38493600.0,
Romania,ROU,2019,38.76,30006.336,19524212.0,
Russia,RUS,2019,11.56,27254.574,145742288.0,
Saint Lucia,LCA,2019,16.19,15460.801,178594.0,
Serbia,SRB,2019,2.79,18310.08,7401056.0,
South Africa,ZAF,2019,77.58,13852.206,58087060.0,
South America,,2019,,,428318218.0,
Sudan,SDN,2019,52.82,4133.1304,43232092.0,
Suriname,SUR,2019,32.15,18449.2,600305.0,
Tajikistan,TJK,2019,163.04,3575.2798,9337008.0,
Tanzania,TZA,2019,182.42,2577.6658,59872584.0,
Thailand,THA,2019,11.84,18003.672,71307768.0,
Tonga,TON,2019,27.22,6344.3115,104965.0,
United States,USA,2019,2.82,62478.254,334319680.0,
Vanuatu,VUT,2019,77.78,3070.3508,304414.0,
Vietnam,VNM,2019,33.95,10252.005,95776712.0,
