Entity,Code,Year,Children orphaned due to AIDS deaths - Disaggregation: 0-17 estimate
Botswana,BWA,1990,2205
Botswana,BWA,1995,21825
Botswana,BWA,2000,80097
Botswana,BWA,2005,137085
Botswana,BWA,2010,131454
Botswana,BWA,2015,91313
Botswana,BWA,2020,62616
Botswana,BWA,2022,54247
"Ethiopia, Gambella",,1990,691
"Ethiopia, Gambella",,1995,3535
"Ethiopia, Gambella",,2000,8470
"Ethiopia, Gambella",,2005,12597
"Ethiopia, Gambella",,2010,14057
"Ethiopia, Gambella",,2015,13194
"Ethiopia, Gambella",,2020,9949
"Ethiopia, Gambella",,2022,8940
"Ethiopia, Tigray",,1990,2146
"Ethiopia, Tigray",,1995,11189
"Ethiopia, Tigray",,2000,29336
"Ethiopia, Tigray",,2005,46317
"Ethiopia, Tigray",,2010,44268
"Ethiopia, Tigray",,2015,25035
"Ethiopia, Tigray",,2020,12298
"Ethiopia, Tigray",,2022,9753
Iraq,IRQ,1990,19
Iraq,IRQ,1995,63
Iraq,IRQ,2000,205
Iraq,IRQ,2005,479
Iraq,IRQ,2010,885
Iraq,IRQ,2015,1255
Iraq,IRQ,2020,1479
Iraq,IRQ,2022,1633
Paraguay,PRY,1990,1
Paraguay,PRY,1995,20
Paraguay,PRY,2000,435
Paraguay,PRY,2005,1792
Paraguay,PRY,2010,2965
Paraguay,PRY,2015,4318
Paraguay,PRY,2020,5864
Paraguay,PRY,2022,6306
"Zimbabwe, Bulawayo",,1990,4753
"Zimbabwe, Bulawayo",,1995,21548
"Zimbabwe, Bulawayo",,2000,41835
"Zimbabwe, Bulawayo",,2005,50270
"Zimbabwe, Bulawayo",,2010,47506
"Zimbabwe, Bulawayo",,2015,31810
"Zimbabwe, Bulawayo",,2020,20817
"Zimbabwe, Bulawayo",,2022,18463
"Zimbabwe, Masvingo",,1990,12077
"Zimbabwe, Masvingo",,1995,46046
"Zimbabwe, Masvingo",,2000,81934
"Zimbabwe, Masvingo",,2005,96353
"Zimbabwe, Masvingo",,2010,95629
"Zimbabwe, Masvingo",,2015,73798
"Zimbabwe, Masvingo",,2020,53035
"Zimbabwe, Masvingo",,2022,43756
"Zimbabwe, Midlands",,1990,13247
"Zimbabwe, Midlands",,1995,52224
"Zimbabwe, Midlands",,2000,97058
"Zimbabwe, Midlands",,2005,115378
"Zimbabwe, Midlands",,2010,106346
"Zimbabwe, Midlands",,2015,77683
"Zimbabwe, Midlands",,2020,57708
"Zimbabwe, Midlands",,2022,50360
