Entity,Code,Year,Average annual working hours per worker,GDP per capita,417485-annotations,Population (historical estimates),Continent
Germany,DEU,1870,3284.0,2931.0,,39664615.0,
Germany,DEU,1880,3223.0,3174.0,,44110884.0,
Germany,DEU,1890,3108.0,3870.0,,48674276.0,
Germany,DEU,1900,3056.0,4758.0,,55775391.0,
Germany,DEU,1913,2723.0,5815.0,,64209282.0,
Germany,DEU,1929,2128.0,6457.0,,66789491.0,
Germany,DEU,1950,2427.4287,6186.0,,70964104.0,
Germany,DEU,1952,2376.0369,7257.0,,70808376.0,
Germany,DEU,1953,2350.7505,7818.0,,70879448.0,
Germany,DEU,1955,2300.9822,9240.0,,71222632.0,
Germany,DEU,1957,2252.2673,10348.0,,71771632.0,
Germany,DEU,1958,2228.2981,10739.0,,72136480.0,
Germany,DEU,1961,2154.5046,12675.0,,73604352.0,
Germany,DEU,1962,2117.4016,13106.0,,74194424.0,
Germany,DEU,1963,2086.9526,13367.0,,74796216.0,
Germany,DEU,1967,2020.2074,14979.0,,77173552.0,
Germany,DEU,1969,1987.9437,16641.0,,78012488.0,
Germany,DEU,1972,1915.4514,18301.0,,78643560.0,
Germany,DEU,1973,1884.9017,19074.0,,78667472.0,
Germany,DEU,1974,1851.6299,19228.0,,78620536.0,
Germany,DEU,1977,1806.2542,20837.0,,78221280.0,
Germany,DEU,1980,1756.1083,22497.0,,77786696.0,
Germany,DEU,1983,1709.974,22840.0,,77566064.0,
Germany,DEU,1985,1675.8749,24133.0,,77638808.0,
Germany,DEU,1988,1628.7378,25759.0,,78477528.0,
Germany,DEU,1989,1605.6707,26393.0,,78916440.0,
Germany,DEU,1991,1553.5189,26769.96,,79801984.0,
Germany,DEU,1994,1537.2506,28140.057,,80882120.0,
Germany,DEU,1997,1499.6443,30186.945,,81436096.0,
Germany,DEU,2000,1452.0129,33367.285,,81551680.0,
Germany,DEU,2002,1430.8605,34590.93,,81443424.0,
Germany,DEU,2006,1424.6752,38014.137,,81177816.0,
Germany,DEU,2017,1353.8868,45619.785,,82624368.0,
