Entity,Code,Year,"Inflation, consumer prices (annual %)"
Germany,DEU,1960,1.5366116
Germany,DEU,1970,3.4502416
Germany,DEU,1980,5.4410563
Germany,DEU,1990,2.6964715
Germany,DEU,2000,1.4402682
Germany,DEU,2010,1.1038091
Germany,DEU,2021,3.1429696
Sweden,SWE,1960,4.141779
Sweden,SWE,1970,7.016359
Sweden,SWE,1980,13.706323
Sweden,SWE,1990,10.366553
Sweden,SWE,2000,0.89914376
Sweden,SWE,2010,1.1579881
Sweden,SWE,2021,2.1631973
Tanzania,TZA,1970,3.4928849
Tanzania,TZA,1980,30.1973
Tanzania,TZA,1990,35.82677
Tanzania,TZA,2000,5.923961
Tanzania,TZA,2010,6.2001557
Tanzania,TZA,2021,3.6909196
United Kingdom,GBR,1960,1.0035757
United Kingdom,GBR,1970,6.3665686
United Kingdom,GBR,1980,17.965925
United Kingdom,GBR,1990,8.063461
United Kingdom,GBR,2000,1.1829562
United Kingdom,GBR,2010,2.4926548
United Kingdom,GBR,2021,2.518371
United States,USA,1960,1.457976
United States,USA,1970,5.8382554
United States,USA,1980,13.549202
United States,USA,1990,5.3979564
United States,USA,2000,3.3768573
United States,USA,2010,1.6400435
United States,USA,2021,4.697859
World,OWID_WRL,1990,8.063461
World,OWID_WRL,2000,3.4335155
World,OWID_WRL,2010,3.3468688
World,OWID_WRL,2021,3.4950576
