Entity,Code,Year,Tuberculosis patients tested positive for HIV - Disaggregation: Total
Brazil,BRA,2010,8918
Brazil,BRA,2020,6606
Brazil,BRA,2021,6870
Brazil,BRA,2005,8249
Brazil,BRA,2015,7865
India,IND,2010,41476
India,IND,2020,30496
India,IND,2021,34339
India,IND,2005,6411
India,IND,2015,44652
Kenya,KEN,2010,40069
Kenya,KEN,2020,17675
Kenya,KEN,2021,17635
Kenya,KEN,2005,8954
Kenya,KEN,2015,26288
Nigeria,NGA,2010,17736
Nigeria,NGA,2015,14846
Nigeria,NGA,2020,9709
Nigeria,NGA,2021,11715
Nigeria,NGA,2005,1241
South Africa,ZAF,2015,157505
South Africa,ZAF,2020,89767
South Africa,ZAF,2021,81770
South Africa,ZAF,2002,1798
South Africa,ZAF,2005,35299
South Africa,ZAF,2010,128457
