Entity,Code,Year,"Deaths that are from lower respiratory infections per 100,000 people, in both sexes aged under 5"
Bhutan,BTN,1990,447.8447
Bhutan,BTN,1995,365.79642
Bhutan,BTN,2000,310.84048
Bhutan,BTN,2005,220.21208
Bhutan,BTN,2010,148.64441
Bhutan,BTN,2015,99.062004
Bhutan,BTN,2019,75.473
Central African Republic,CAF,1990,692.32733
Central African Republic,CAF,1995,683.1985
Central African Republic,CAF,2000,666.23596
Central African Republic,CAF,2005,592.89716
Central African Republic,CAF,2010,559.9361
Central African Republic,CAF,2015,477.75232
Central African Republic,CAF,2019,388.5861
Congo,COG,1990,230.59508
Congo,COG,1995,232.76819
Congo,COG,2000,211.14145
Congo,COG,2005,144.22092
Congo,COG,2010,102.508644
Congo,COG,2015,68.6062
Congo,COG,2019,47.89951
Democratic Republic of Congo,COD,1990,547.58844
Democratic Republic of Congo,COD,1995,496.56543
Democratic Republic of Congo,COD,2000,422.44357
Democratic Republic of Congo,COD,2005,329.0073
Democratic Republic of Congo,COD,2010,247.10918
Democratic Republic of Congo,COD,2015,166.45383
Democratic Republic of Congo,COD,2019,103.0556
India,IND,1990,435.3162
India,IND,1995,367.98444
India,IND,2000,300.2395
India,IND,2005,250.71802
India,IND,2010,201.30849
India,IND,2015,156.47696
India,IND,2019,109.77261
Madagascar,MDG,1990,575.4384
Madagascar,MDG,1995,513.8639
Madagascar,MDG,2000,396.88968
Madagascar,MDG,2005,294.94458
Madagascar,MDG,2010,243.33531
Madagascar,MDG,2015,188.19464
Madagascar,MDG,2019,145.52228
Nigeria,NGA,1990,878.88135
Nigeria,NGA,1995,888.50085
Nigeria,NGA,2000,826.60596
Nigeria,NGA,2005,668.3281
Nigeria,NGA,2010,527.6657
Nigeria,NGA,2015,471.04047
Nigeria,NGA,2019,386.15045
Pakistan,PAK,1990,338.56613
Pakistan,PAK,1995,319.4082
Pakistan,PAK,2000,275.21524
Pakistan,PAK,2005,226.25932
Pakistan,PAK,2010,204.32593
Pakistan,PAK,2015,186.7321
Pakistan,PAK,2019,152.80363
Paraguay,PRY,1990,87.55273
Paraguay,PRY,1995,78.454895
Paraguay,PRY,2000,62.91409
Paraguay,PRY,2005,51.892532
Paraguay,PRY,2010,36.12399
Paraguay,PRY,2015,26.883337
Paraguay,PRY,2019,22.528446
South Sudan,SSD,1990,884.3862
South Sudan,SSD,1995,804.0913
South Sudan,SSD,2000,618.4906
South Sudan,SSD,2005,516.8707
South Sudan,SSD,2010,473.14755
South Sudan,SSD,2015,465.1035
South Sudan,SSD,2019,354.337
