Entity,Code,Year,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages"
Brazil,BRA,1990,150020.47
Brazil,BRA,1995,160568.11
Brazil,BRA,2000,166826.52
Brazil,BRA,2005,166779.47
Brazil,BRA,2010,170141.61
Brazil,BRA,2015,168589.69
Brazil,BRA,2019,170119.67
China,CHN,1990,1531774.6
China,CHN,1995,1749745.1
China,CHN,2000,1983143.5
China,CHN,2005,2169175.8
China,CHN,2010,2173613.5
China,CHN,2015,2218342.8
China,CHN,2019,2418664.5
India,IND,1990,637869.5
India,IND,1995,684774.56
India,IND,2000,752781.75
India,IND,2005,750211.4
India,IND,2010,839321.5
India,IND,2015,950678.2
India,IND,2019,1013282.44
Russia,RUS,1990,259268.39
Russia,RUS,1995,368333.6
Russia,RUS,2000,362600.28
Russia,RUS,2005,389868.84
Russia,RUS,2010,340322.28
Russia,RUS,2015,308845.34
Russia,RUS,2019,291356.5
United States,USA,1990,515412.03
United States,USA,1995,523810.75
United States,USA,2000,515704.6
United States,USA,2005,495192.3
United States,USA,2010,477588.28
United States,USA,2015,490977.5
United States,USA,2019,527736.2
