Entity,Code,Year,Sales of cigarettes per adult per day (International Smoking Statistics (2017)) 
Denmark,DNK,1920,1.100000023841858
Denmark,DNK,1940,1.600000023841858
Denmark,DNK,1960,5.599999904632568
Denmark,DNK,1980,6.0
Denmark,DNK,2000,6.400000095367432
Greece,GRC,1920,3.200000047683716
Greece,GRC,1940,3.099999904632568
Greece,GRC,1960,4.699999809265137
Greece,GRC,1980,8.100000381469727
Greece,GRC,2000,9.899999618530272
Kazakhstan,KAZ,2000,4.400000095367432
Lithuania,LTU,2000,5.300000190734863
Lithuania,LTU,2014,4.0
Portugal,PRT,1940,0.699999988079071
Portugal,PRT,1960,3.099999904632568
Portugal,PRT,1980,4.599999904632568
Portugal,PRT,2000,5.400000095367432
Yugoslavia,OWID_YGS,1960,4.300000190734863
Yugoslavia,OWID_YGS,1980,8.899999618530273
