Entity,Code,Year,Energy: Energy used in agriculture and forestry - Agriculture and forestry energy use as a % of total energy use (FAO (2017))
Americas + (Total),,1971,1.67
Americas + (Total),,1975,1.65
Americas + (Total),,1980,1.58
Americas + (Total),,1985,1.88
Americas + (Total),,1990,1.72
Americas + (Total),,1995,1.75
Americas + (Total),,2000,1.56
Americas + (Total),,2005,1.72
Americas + (Total),,2009,1.7
United Kingdom,GBR,1971,1.33
United Kingdom,GBR,1975,1.31
United Kingdom,GBR,1980,1.08
United Kingdom,GBR,1985,1.01
United Kingdom,GBR,1990,0.93
United Kingdom,GBR,1995,0.88
United Kingdom,GBR,2000,0.76
United Kingdom,GBR,2005,0.62
United Kingdom,GBR,2009,0.64
United States,USA,1971,1.35
United States,USA,1975,1.17
United States,USA,1980,1.04
United States,USA,1985,1.35
United States,USA,1990,1.11
United States,USA,1995,1.1
United States,USA,2000,0.91
United States,USA,2005,1.07
United States,USA,2009,0.98
World + (Total),,1971,1.82
World + (Total),,1975,1.92
World + (Total),,1980,2.02
World + (Total),,1985,2.36
World + (Total),,1990,2.26
World + (Total),,1995,2.61
World + (Total),,2000,2.23
World + (Total),,2005,2.24
World + (Total),,2009,2.07
