Entity,Code,Year,Cassava | 00000125 || Yield | 005419 || tonnes per hectare
Colombia,COL,1961,5.6521997
Colombia,COL,1970,8.0
Colombia,COL,1980,10.353399
Colombia,COL,1990,9.3532
Colombia,COL,2000,9.993899
Colombia,COL,2010,10.6094
Colombia,COL,2021,10.3473
Guinea-Bissau,GNB,1990,10.505099
Guinea-Bissau,GNB,2000,15.233
Guinea-Bissau,GNB,2010,10.1723995
Guinea-Bissau,GNB,2021,11.2652
Zambia,ZMB,1961,6.25
Zambia,ZMB,1970,6.2295
Zambia,ZMB,1980,6.1765
Zambia,ZMB,1990,6.204
Zambia,ZMB,2000,4.9409
Zambia,ZMB,2010,5.7964
Zambia,ZMB,2021,35.538
