Entity,Code,Year,Agricultural land | 00006610 || Area | 5110pc || hectares per capita
Bhutan,BTN,1961,1.5897272
Bhutan,BTN,1970,1.2779895
Bhutan,BTN,1980,0.99454325
Bhutan,BTN,1990,0.8129659
Bhutan,BTN,2000,0.98431563
Bhutan,BTN,2010,0.7370419
Bhutan,BTN,2020,0.6640673
Cambodia,KHM,1961,0.6210429
Cambodia,KHM,1970,0.5096502
Cambodia,KHM,1980,0.42749086
Cambodia,KHM,1990,0.49995476
Cambodia,KHM,2000,0.3936019
Cambodia,KHM,2010,0.3797812
Cambodia,KHM,2020,0.35305533
Israel,ISR,1961,0.2576488
Israel,ISR,1970,0.18057905
Israel,ISR,1980,0.14233784
Israel,ISR,1990,0.12054326
Israel,ISR,2000,0.0925297
Israel,ISR,2010,0.0688414
Israel,ISR,2020,0.07381113
Kazakhstan,KAZ,2000,14.136891
Kazakhstan,KAZ,2010,13.060134
Kazakhstan,KAZ,2020,11.2756405
Mali,MLI,1961,5.848072
Mali,MLI,1970,5.164143
Mali,MLI,1980,4.3512526
Mali,MLI,1990,3.591715
Mali,MLI,2000,3.4344378
Mali,MLI,2010,2.6434746
Mali,MLI,2020,1.9412419
Mayotte,MYT,1961,0.55815685
Mayotte,MYT,1970,0.45250404
Mayotte,MYT,1980,0.32570425
Mayotte,MYT,1990,0.19445345
Mayotte,MYT,2000,0.12573403
Mayotte,MYT,2010,0.094525814
Mayotte,MYT,2020,0.06544695
