Entity,Code,Year,Electricity from oil - TWh
Australia,AUS,1985,4.667
Australia,AUS,1990,3.474
Australia,AUS,1995,2.7715
Australia,AUS,2000,2.27
Australia,AUS,2005,3.78
Australia,AUS,2010,6.0
Australia,AUS,2015,6.28
Australia,AUS,2020,4.89
Australia,AUS,2022,5.47
Brazil,BRA,1985,3.914162
Brazil,BRA,1990,5.0698996
Brazil,BRA,1995,7.5814815
Brazil,BRA,2000,14.72
Brazil,BRA,2005,11.79
Brazil,BRA,2010,15.38
Brazil,BRA,2015,27.37
Brazil,BRA,2020,13.32
Brazil,BRA,2022,10.21
France,FRA,1985,7.062
France,FRA,1990,12.84
France,FRA,1995,10.5
France,FRA,2000,12.1
France,FRA,2005,12.77
France,FRA,2010,10.51
France,FRA,2015,11.62
France,FRA,2020,9.77
France,FRA,2022,9.68
South Africa,ZAF,1985,0.042
South Africa,ZAF,1990,0.0
South Africa,ZAF,1995,0.0
South Africa,ZAF,2000,0.0
South Africa,ZAF,2005,0.0
South Africa,ZAF,2010,0.19
South Africa,ZAF,2015,3.71
South Africa,ZAF,2020,1.37
South Africa,ZAF,2022,3.35
South Korea,KOR,1985,17.444466
South Korea,KOR,1990,13.307033
South Korea,KOR,1995,29.563984
South Korea,KOR,2000,30.53
South Korea,KOR,2005,22.19
South Korea,KOR,2010,16.67
South Korea,KOR,2015,12.23
South Korea,KOR,2020,6.9
South Korea,KOR,2022,6.1
Sweden,SWE,1990,1.85
Sweden,SWE,1995,4.68
Sweden,SWE,2000,2.65
Sweden,SWE,2005,3.51
Sweden,SWE,2010,4.6
Sweden,SWE,2015,2.31
Sweden,SWE,2020,2.34
Sweden,SWE,2022,2.76
