Entity,Code,Year,"Current number of cases of hiv/aids per 100 people, in both sexes aged 15-49 years"
African Region (WHO),,1990,2.1916156
African Region (WHO),,1995,4.375749
African Region (WHO),,2000,5.2053027
African Region (WHO),,2005,4.7009945
African Region (WHO),,2010,4.1816773
African Region (WHO),,2015,3.9500537
African Region (WHO),,2019,3.652639
Eastern Mediterranean Region (WHO),,1990,0.01119242
Eastern Mediterranean Region (WHO),,1995,0.027306587
Eastern Mediterranean Region (WHO),,2000,0.04710568
Eastern Mediterranean Region (WHO),,2005,0.050741553
Eastern Mediterranean Region (WHO),,2010,0.05135122
Eastern Mediterranean Region (WHO),,2015,0.057747666
Eastern Mediterranean Region (WHO),,2019,0.066496655
European Region (WHO),,1990,0.07830794
European Region (WHO),,1995,0.09577704
European Region (WHO),,2000,0.12432535
European Region (WHO),,2005,0.15284377
European Region (WHO),,2010,0.18659958
European Region (WHO),,2015,0.2824228
European Region (WHO),,2019,0.3980143
Region of the Americas (WHO),,1990,0.33704773
Region of the Americas (WHO),,1995,0.39042127
Region of the Americas (WHO),,2000,0.40843025
Region of the Americas (WHO),,2005,0.41834477
Region of the Americas (WHO),,2010,0.4213558
Region of the Americas (WHO),,2015,0.4403092
Region of the Americas (WHO),,2019,0.4784296
South-East Asia Region (WHO),,1990,0.020512126
South-East Asia Region (WHO),,1995,0.16654207
South-East Asia Region (WHO),,2000,0.32538527
South-East Asia Region (WHO),,2005,0.30998048
South-East Asia Region (WHO),,2010,0.24477911
South-East Asia Region (WHO),,2015,0.21395607
South-East Asia Region (WHO),,2019,0.2020881
Western Pacific Region (WHO),,1990,0.010271703
Western Pacific Region (WHO),,1995,0.02625512
Western Pacific Region (WHO),,2000,0.04523065
Western Pacific Region (WHO),,2005,0.061398834
Western Pacific Region (WHO),,2010,0.07366982
Western Pacific Region (WHO),,2015,0.08710357
Western Pacific Region (WHO),,2019,0.10125362
