Entity,Code,Year,Moderate bleaching events (1-30% bleached),Severe bleaching events (>30% bleached)
Indian Ocean/Middle East,,1980,0,0
Indian Ocean/Middle East,,1982,0,0
Indian Ocean/Middle East,,1984,0,0
Indian Ocean/Middle East,,1986,0,0
Indian Ocean/Middle East,,1988,0,0
Indian Ocean/Middle East,,1990,0,0
Indian Ocean/Middle East,,1992,0,0
Indian Ocean/Middle East,,1994,0,0
Indian Ocean/Middle East,,1996,1,1
Indian Ocean/Middle East,,1998,4,17
Indian Ocean/Middle East,,2000,1,0
Indian Ocean/Middle East,,2002,3,3
Indian Ocean/Middle East,,2004,4,2
Indian Ocean/Middle East,,2006,0,0
Indian Ocean/Middle East,,2008,0,0
Indian Ocean/Middle East,,2010,1,13
Indian Ocean/Middle East,,2012,1,0
Indian Ocean/Middle East,,2014,2,0
Indian Ocean/Middle East,,2016,4,15
