Entity,Code,Year,"Agriculture, forestry, and fishing, value added (% of GDP)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,33.4845,1516.3057,40099460.0,
Africa,,2021,,,1393676724.0,
Albania,ALB,2021,17.664059,14518.906,2854710.0,
Angola,AGO,2021,7.9441595,5908.57,34503776.0,
Antigua and Barbuda,ATG,2021,2.1628685,19124.43,93229.0,
Asia,,2021,,,4693332132.0,
Bangladesh,BGD,2021,11.632858,5911.013,169356240.0,
Belarus,BLR,2021,6.803809,19751.203,9578172.0,
Benin,BEN,2021,29.436098,3321.5522,12996901.0,
Bhutan,BTN,2021,19.19167,10907.856,777500.0,
Burundi,BDI,2021,28.66022,705.0304,12551215.0,
Cameroon,CMR,2021,16.910563,3700.4644,27198632.0,
Chad,TCD,2021,53.988575,1425.4945,17179744.0,
China,CHN,2021,7.2648163,17602.695,1425893504.0,
Comoros,COM,2021,35.511654,3228.5269,821632.0,
Congo,COG,2021,9.511906,3234.393,5835814.0,
Curacao,CUW,2021,0.1943544,20783.086,190348.0,
Democratic Republic of Congo,COD,2021,19.04363,1073.6433,95894120.0,
Djibouti,DJI,2021,,4913.2563,1105562.0,
Ethiopia,ETH,2021,37.573833,2319.0684,120283024.0,
Europe,,2021,,,746417727.0,
Fiji,FJI,2021,14.521729,10359.204,924615.0,
Guatemala,GTM,2021,9.396841,8926.7,17608484.0,
Guinea-Bissau,GNB,2021,,1831.3832,2060730.0,
Guyana,GUY,2021,13.488938,21925.188,804571.0,
India,IND,2021,16.818628,6592.042,1407563904.0,
Indonesia,IDN,2021,13.2806835,11858.146,273753184.0,
Iraq,IRQ,2021,3.9519763,8962.395,43533592.0,
Japan,JPN,2021,,40784.383,124612528.0,
Kyrgyzstan,KGZ,2021,14.682207,4814.9565,6527742.0,
Laos,LAO,2021,16.067698,7846.975,7425055.0,
Lebanon,LBN,2021,1.4001657,12977.202,5592626.0,
Lesotho,LSO,2021,4.945945,2295.2322,2281464.0,
Madagascar,MDG,2021,,1463.6288,28915652.0,
Malaysia,MYS,2021,9.588177,26333.156,33573872.0,
Mali,MLI,2021,35.69042,2120.6233,21904990.0,
Mexico,MEX,2021,3.8892012,19086.105,126705136.0,
Mozambique,MOZ,2021,27.495377,1226.767,32077074.0,
Nepal,NPL,2021,21.31989,3831.9485,30034988.0,
New Zealand,NZL,2021,,42915.453,5129730.0,
Niger,NER,2021,36.481026,1186.5768,25252722.0,
North America,,2021,,,597123384.0,
Oceania,,2021,,,44492065.0,
Pakistan,PAK,2021,22.673752,5232.1426,231402112.0,
Palau,PLW,2021,3.8567493,13785.397,18050.0,
Peru,PER,2021,6.970227,12514.651,33715464.0,
Russia,RUS,2021,3.7965922,27960.102,145102752.0,
South America,,2021,,,434254167.0,
Sudan,SDN,2021,6.357092,3701.069,45657204.0,
Tajikistan,TJK,2021,,3903.32,9750078.0,
Tanzania,TZA,2021,25.885653,2581.6997,63588332.0,
Uganda,UGA,2021,23.841805,2246.414,45853780.0,
Ukraine,UKR,2021,10.633046,12943.614,43531424.0,
United States,USA,2021,0.95956665,63669.71,336997632.0,
Uzbekistan,UZB,2021,24.982517,7734.8325,34081452.0,
Zambia,ZMB,2021,3.3932767,3236.789,19473132.0,
Zimbabwe,ZWE,2021,8.849899,2115.1445,15993525.0,
