Entity,Code,Year,Population share in urban areas,GDP per capita,417485-annotations,Population (historical estimates),Continent
Afghanistan,AFG,2018,26.58031,1934.555,,36686788.0,
Africa,,2018,44.138214,,,1295265310.0,
Algeria,DZA,2018,69.863716,14228.025,,41927008.0,
Argentina,ARG,2018,93.74578,18556.383,,44413592.0,
Asia,,2018,47.098236,,,4588802751.0,
Bahrain,BHR,2018,22.571209,39498.766,,1487346.0,
Bangladesh,BGD,2018,33.029133,4099.253,,163683952.0,
Belgium,BEL,2018,97.62394,39756.203,,11448598.0,
Bolivia,BOL,2018,69.588974,6695.7744,,11606906.0,
Brazil,BRA,2018,88.27278,14033.565,,210166592.0,
Burundi,BDI,2018,14.101204,651.3589,,11493476.0,
Cameroon,CMR,2018,63.75371,2888.046,,25076752.0,
China,CHN,2018,53.107487,13101.706,,1417069440.0,
Comoros,COM,2018,30.3164,1724.4207,,776322.0,
Cuba,CUB,2018,78.33457,8325.631,,11328243.0,
Democratic Republic of Congo,COD,2018,40.321888,859.3817,,87087352.0,
Djibouti,DJI,2018,83.07926,3295.6814,,1057204.0,
Equatorial Guinea,GNQ,2018,42.565197,28528.953,,1502102.0,
Eswatini,SWZ,2018,25.81704,8068.212,,1160430.0,
Ethiopia,ETH,2018,20.058474,1838.4904,,111129440.0,
Europe,,2018,76.51461,,,746577709.0,
Germany,DEU,2018,76.88834,46177.617,,82896696.0,
Guatemala,GTM,2018,54.390812,7402.1147,,16850176.0,
Haiti,HTI,2018,58.91781,1729.0432,,11012427.0,
Hungary,HUN,2018,70.7772,25622.812,,9776361.0,
India,IND,2018,34.588367,6806.4985,,1369003264.0,
Indonesia,IDN,2018,49.458374,11851.737,,267066848.0,
Iran,IRN,2018,73.98476,17011.305,,85617560.0,
Ireland,IRL,2018,66.26703,64684.3,,4834506.0,
Israel,ISR,2018,58.928925,32954.77,,8456487.0,
Japan,JPN,2018,69.91546,38673.81,,126255872.0,
Jordan,JOR,2018,81.53709,11506.338,,10459864.0,
Kenya,KEN,2018,26.297245,3377.4705,,49953300.0,
Liberia,LBR,2018,54.34593,818.4211,,4889396.0,
Madagascar,MDG,2018,35.031784,1427.6003,,26846544.0,
Mauritius,MUS,2018,47.03466,20138.572,,1295386.0,
Mexico,MEX,2018,80.53661,16494.078,,124013864.0,
Morocco,MAR,2018,63.24182,8451.136,,35927516.0,
Namibia,NAM,2018,42.92447,9043.12,,2405682.0,
Nepal,NPL,2018,22.150017,2727.4238,,28506718.0,
Nicaragua,NIC,2018,62.000935,4952.477,,6572234.0,
Niger,NER,2018,20.311836,964.6601,,22577060.0,
Nigeria,NGA,2018,54.936493,5237.662,,198387616.0,
North America,,2018,80.62036,,,585864285.0,
North Korea,PRK,2018,64.90494,1596.3517,,25638152.0,
Oceania,,2018,71.60874,,,42540030.0,
Oman,OMN,2018,76.559555,36477.637,,4601160.0,
Peru,PER,2018,77.15954,12310.085,,32203946.0,
Philippines,PHL,2018,58.835327,8139.1396,,108568832.0,
Poland,POL,2018,65.4706,27455.236,,38521464.0,
Qatar,QAT,2018,46.224567,153764.17,,2766743.0,
Russia,RUS,2018,76.364006,24668.908,,145652288.0,
Saint Lucia,LCA,2018,30.0836,10475.369,,177894.0,
Senegal,SEN,2018,47.533516,2617.1245,,15574910.0,
Singapore,SGP,2018,100.0,68402.34,,5814543.0,
South Africa,ZAF,2018,66.06187,12165.795,,57339632.0,
South America,,2018,85.81124,,,424740741.0,
Sri Lanka,LKA,2018,17.708687,11662.906,,21580712.0,
Tanzania,TZA,2018,30.966082,2874.963,,58090444.0,
Thailand,THA,2018,38.684456,16648.623,,71127808.0,
Togo,TGO,2018,48.898403,1451.3608,,8046680.0,
Trinidad and Tobago,TTO,2018,17.116081,28549.408,,1504707.0,
Turkmenistan,TKM,2018,54.462112,26318.365,,6065072.0,
Uganda,UGA,2018,16.489128,2045.4203,,41515400.0,
Ukraine,UKR,2018,71.62034,9813.363,,44446952.0,
United Kingdom,GBR,2018,89.40352,38058.086,,66432996.0,
United States,USA,2018,84.5056,55334.74,,332140032.0,
Venezuela,VEN,2018,95.10085,10709.95,,29825652.0,
Zambia,ZMB,2018,40.601612,3534.0337,,17835898.0,
