Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: intrastate,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Afghanistan,AFG,1989,0,237,5174,0
Afghanistan,AFG,1992,0,90,4276,0
Afghanistan,AFG,1995,4,107,5499,0
Afghanistan,AFG,1998,5800,101,6253,0
Afghanistan,AFG,2001,498,0,3658,1397
Afghanistan,AFG,2004,53,42,714,0
Afghanistan,AFG,2007,113,0,6798,0
Afghanistan,AFG,2010,185,99,6867,0
Afghanistan,AFG,2013,64,0,8040,0
Afghanistan,AFG,2016,341,365,17968,0
Afghanistan,AFG,2019,379,113,29901,0
Afghanistan,AFG,2022,637,0,861,0
Eritrea,ERI,1989,666,0,5936,0
Eritrea,ERI,1992,0,0,0,0
Eritrea,ERI,1995,0,0,0,0
Eritrea,ERI,1998,0,0,44,798
Eritrea,ERI,2001,0,0,0,0
Eritrea,ERI,2004,0,0,0,0
Eritrea,ERI,2007,0,0,0,0
Eritrea,ERI,2010,0,0,0,0
Eritrea,ERI,2013,0,0,0,0
Eritrea,ERI,2016,0,0,0,0
Eritrea,ERI,2019,0,0,0,0
Eritrea,ERI,2022,12,0,28,0
Ethiopia,ETH,1989,345,0,18424,0
Ethiopia,ETH,1992,0,849,165,0
Ethiopia,ETH,1995,0,1000,29,0
Ethiopia,ETH,1998,0,766,155,202
Ethiopia,ETH,2001,0,330,40,0
Ethiopia,ETH,2004,244,168,50,0
Ethiopia,ETH,2007,235,59,177,0
Ethiopia,ETH,2010,0,0,31,0
Ethiopia,ETH,2013,0,128,146,0
Ethiopia,ETH,2016,302,178,65,25
Ethiopia,ETH,2019,79,266,67,0
Ethiopia,ETH,2022,1806,0,101054,0
Iraq,IRQ,1989,5,0,51,0
Iraq,IRQ,1992,158,345,341,0
Iraq,IRQ,1995,103,545,699,0
Iraq,IRQ,1998,43,0,54,0
Iraq,IRQ,2001,0,0,19,0
Iraq,IRQ,2004,133,126,4095,0
Iraq,IRQ,2007,2124,148,2217,0
Iraq,IRQ,2010,738,0,1115,0
Iraq,IRQ,2013,2115,0,1882,0
Iraq,IRQ,2016,2403,0,9582,0
Iraq,IRQ,2019,173,40,722,0
Iraq,IRQ,2022,11,0,808,0
Syria,SYR,1989,0,0,1,0
Syria,SYR,1992,0,0,0,0
Syria,SYR,1995,0,0,0,0
Syria,SYR,1998,0,0,0,0
Syria,SYR,2001,0,0,0,0
Syria,SYR,2004,0,0,1,0
Syria,SYR,2007,0,0,0,0
Syria,SYR,2010,0,0,0,0
Syria,SYR,2013,3236,1132,71988,0
Syria,SYR,2016,1001,7728,44819,0
Syria,SYR,2019,138,3376,7391,138
Syria,SYR,2022,73,596,850,55
Ukraine,UKR,1989,0,0,0,0
Ukraine,UKR,1992,0,0,0,0
Ukraine,UKR,1995,0,0,0,0
Ukraine,UKR,1998,0,0,0,0
Ukraine,UKR,2001,0,0,0,0
Ukraine,UKR,2004,0,0,0,0
Ukraine,UKR,2007,0,0,0,0
Ukraine,UKR,2010,0,0,0,0
Ukraine,UKR,2013,0,0,0,0
Ukraine,UKR,2016,0,0,254,0
Ukraine,UKR,2019,0,0,311,0
Ukraine,UKR,2022,1112,0,29,81447
