Entity,Code,Year,"Current number of cases of lymphatic filariasis, in both sexes aged all ages"
Democratic Republic of Congo,COD,1990,4877646.5
Democratic Republic of Congo,COD,1995,6006719.0
Democratic Republic of Congo,COD,2000,6951027.0
Democratic Republic of Congo,COD,2005,6792338.0
Democratic Republic of Congo,COD,2010,2888509.8
Democratic Republic of Congo,COD,2015,1818964.1
Democratic Republic of Congo,COD,2019,2089248.5
India,IND,1990,108811256.0
India,IND,1995,109250910.0
India,IND,2000,112344130.0
India,IND,2005,82202520.0
India,IND,2010,43400444.0
India,IND,2015,44562840.0
India,IND,2019,37203164.0
Indonesia,IDN,1990,15271582.0
Indonesia,IDN,1995,18892736.0
Indonesia,IDN,2000,21858868.0
Indonesia,IDN,2005,12159098.0
Indonesia,IDN,2010,7718158.0
Indonesia,IDN,2015,6921403.5
Indonesia,IDN,2019,5838675.0
Nigeria,NGA,1990,14931962.0
Nigeria,NGA,1995,18712204.0
Nigeria,NGA,2000,27034976.0
Nigeria,NGA,2005,13825190.0
Nigeria,NGA,2010,5170348.0
Nigeria,NGA,2015,14327836.0
Nigeria,NGA,2019,5017495.5
