Entity,Code,Year,Age-standardized suicide rate - Sex: both sexes
Bahrain,BHR,2000,7.04
Bahrain,BHR,2005,9.62
Bahrain,BHR,2010,7.16
Bahrain,BHR,2015,6.32
Bahrain,BHR,2019,7.2
Bangladesh,BGD,2000,6.87
Bangladesh,BGD,2005,5.57
Bangladesh,BGD,2010,4.82
Bangladesh,BGD,2015,3.64
Bangladesh,BGD,2019,3.85
Iraq,IRQ,2000,5.25
Iraq,IRQ,2005,5.13
Iraq,IRQ,2010,5.34
Iraq,IRQ,2015,5.4
Iraq,IRQ,2019,4.74
Somalia,SOM,2000,16.7819
Somalia,SOM,2005,16.6061
Somalia,SOM,2010,15.3846
Somalia,SOM,2015,15.026
Somalia,SOM,2019,14.6618
