Entity,Code,Year,Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number)
Ecuador,ECU,1990,2081
Ecuador,ECU,1995,1667
Ecuador,ECU,2000,1348
Ecuador,ECU,2005,1223
Ecuador,ECU,2010,938
Ecuador,ECU,2015,718
Ecuador,ECU,2019,735
Kyrgyzstan,KGZ,1990,395
Kyrgyzstan,KGZ,1995,621
Kyrgyzstan,KGZ,2000,893
Kyrgyzstan,KGZ,2005,839
Kyrgyzstan,KGZ,2010,625
Kyrgyzstan,KGZ,2015,485
Kyrgyzstan,KGZ,2019,405
Malaysia,MYS,1990,1968
Malaysia,MYS,1995,2626
Malaysia,MYS,2000,2367
Malaysia,MYS,2005,2100
Malaysia,MYS,2010,2007
Malaysia,MYS,2015,1871
Malaysia,MYS,2019,1992
Mauritius,MUS,1990,25
Mauritius,MUS,1995,16
Mauritius,MUS,2000,12
Mauritius,MUS,2005,13
Mauritius,MUS,2010,15
Mauritius,MUS,2015,16
Mauritius,MUS,2019,15
North Macedonia,MKD,1990,133
North Macedonia,MKD,1995,134
North Macedonia,MKD,2000,114
North Macedonia,MKD,2005,75
North Macedonia,MKD,2010,45
North Macedonia,MKD,2015,38
North Macedonia,MKD,2019,38
Yemen,YEM,1990,1451
Yemen,YEM,1995,1318
Yemen,YEM,2000,1104
Yemen,YEM,2005,1016
Yemen,YEM,2010,892
Yemen,YEM,2015,877
Yemen,YEM,2019,1029
