Entity,Code,Year,"Peas, dry | 00000187 || Production | 005510 || tonnes"
Argentina,ARG,1961,19900.0
Argentina,ARG,1970,18100.0
Argentina,ARG,1980,18600.0
Argentina,ARG,1990,15000.0
Argentina,ARG,2000,11200.0
Argentina,ARG,2010,110000.0
Argentina,ARG,2021,193999.0
China,CHN,1961,2970000.0
China,CHN,1970,2300000.0
China,CHN,1980,2300000.0
China,CHN,1990,1690000.0
China,CHN,2000,1020000.0
China,CHN,2010,910500.0
China,CHN,2021,1467131.0
Colombia,COL,1961,23100.0
Colombia,COL,1970,30000.0
Colombia,COL,1980,33000.0
Colombia,COL,1990,33375.0
Colombia,COL,2000,27378.0
Colombia,COL,2010,47185.0
Colombia,COL,2021,38912.0
Germany,DEU,1961,56373.0
Germany,DEU,1970,38951.0
Germany,DEU,1980,38600.0
Germany,DEU,1990,76700.0
Germany,DEU,2000,408899.0
Germany,DEU,2010,171966.0
Germany,DEU,2021,299100.0
India,IND,1961,1049580.0
India,IND,1970,772100.0
India,IND,1980,229300.0
India,IND,1990,461000.0
India,IND,2000,814800.0
India,IND,2010,674700.0
India,IND,2021,876041.94
Netherlands,NLD,1961,85795.0
Netherlands,NLD,1970,38770.0
Netherlands,NLD,1980,14800.0
Netherlands,NLD,1990,61000.0
Netherlands,NLD,2000,6000.0
Netherlands,NLD,2010,4500.0
Pakistan,PAK,1961,90400.0
Pakistan,PAK,1970,81600.0
Pakistan,PAK,1980,75400.0
Pakistan,PAK,1990,70849.0
Pakistan,PAK,2000,78065.0
Pakistan,PAK,2010,54000.0
Pakistan,PAK,2021,22316.0
Peru,PER,1961,24970.0
Peru,PER,1970,19473.0
Peru,PER,1980,25500.0
Peru,PER,1990,14587.0
Peru,PER,2000,44379.0
Peru,PER,2010,51254.0
Peru,PER,2021,50140.16
