Entity,Code,Year,Pupil-qualified teacher ratio in primary education (headcount basis)
Guinea,GIN,2013,59.6483
Guinea,GIN,2014,64.4879
Guinea,GIN,2016,51.35012
Liberia,LBR,2016,34.13314
Liberia,LBR,2017,31.80252
Mauritius,MUS,2013,19.79263
Mauritius,MUS,2014,18.73281
Mauritius,MUS,2015,18.82093
Mauritius,MUS,2016,17.79444
Mauritius,MUS,2017,17.93769
Mauritius,MUS,2018,16.19841
Mauritius,MUS,2019,15.20305
Niger,NER,2013,36.31449
Niger,NER,2014,36.05848
Niger,NER,2015,36.9455
Niger,NER,2016,40.48106
Niger,NER,2017,38.3443
Niger,NER,2019,40.21031
Sint Maarten (Dutch part),SXM,2012,11.7541
