Entity,Code,Year,"Average daily hours of work, by industry, men (Costa (2000))"
Construction,,1890,9.43
Construction,,1991,8.550000190734863
Entertainment,,1991,8.300000190734863
Manufacturing,,1890,9.57
Manufacturing,,1991,8.59000015258789
Mining,,1890,9.38
Mining,,1991,9.579999923706056
Personal service,,1890,11.81
Personal service,,1991,8.430000305175781
Trade,,1890,11.52
Trade,,1991,8.770000457763672
"Transportation, communication, utilities",,1890,10.64
"Transportation, communication, utilities",,1991,8.760000228881836
