Entity,Code,Year,Gas consumption - TWh
Africa (EI),,1965,9.571929
Africa (EI),,1970,15.548499
Africa (EI),,1980,186.91397
Africa (EI),,1990,398.6454
Africa (EI),,2000,556.8223
Africa (EI),,2010,981.41986
Africa (EI),,2022,1625.0382
Asia Pacific (EI),,1965,56.231968
Asia Pacific (EI),,1970,142.32472
Asia Pacific (EI),,1980,734.6105
Asia Pacific (EI),,1990,1516.671
Asia Pacific (EI),,2000,2983.047
Asia Pacific (EI),,2010,5752.493
Asia Pacific (EI),,2022,9070.784
CIS (EI),,1965,1216.7582
CIS (EI),,1970,1894.8474
CIS (EI),,1980,3770.774
CIS (EI),,1990,5110.077
CIS (EI),,2000,4517.8496
CIS (EI),,2010,5290.2935
CIS (EI),,2022,5512.274
Europe (EI),,1965,379.1453
Europe (EI),,1970,1085.3882
Europe (EI),,1980,2808.8425
Europe (EI),,1990,4826.9204
Europe (EI),,2000,5584.936
Europe (EI),,2010,6233.6133
Europe (EI),,2022,4987.8027
Middle East (EI),,1965,37.872276
Middle East (EI),,1970,94.029175
Middle East (EI),,1980,317.0203
Middle East (EI),,1990,956.8127
Middle East (EI),,2000,1833.0188
Middle East (EI),,2010,3804.9849
Middle East (EI),,2022,5605.5967
North America,,1965,4467.994
North America,,1970,6213.8354
North America,,1980,6086.5293
North America,,1990,6131.631
North America,,2000,7643.1973
North America,,2010,8290.135
North America,,2022,11198.229
North America (EI),,1965,4456.537
North America (EI),,1970,6194.672
North America (EI),,1980,6057.8926
North America (EI),,1990,6076.3887
North America (EI),,2000,7535.2466
North America (EI),,2010,8058.1006
North America (EI),,2022,10994.263
South and Central America (EI),,1965,147.71014
South and Central America (EI),,1970,188.00996
South and Central America (EI),,1980,360.90677
South and Central America (EI),,1990,595.6102
South and Central America (EI),,2000,983.33673
South and Central America (EI),,2010,1472.7887
South and Central America (EI),,2022,1617.286
