Entity,Code,Year,AFP cases with adequate stool collection
Ecuador,ECU,2001,100
Ecuador,ECU,2005,69
Ecuador,ECU,2010,88
Ecuador,ECU,2015,96
Ecuador,ECU,2021,0
Seychelles,SYC,2005,100
Seychelles,SYC,2015,0
Seychelles,SYC,2021,0
Slovakia,SVK,2001,90
Slovakia,SVK,2005,40
Slovakia,SVK,2010,0
Slovakia,SVK,2015,33
Slovakia,SVK,2021,50
Sudan,SDN,2001,74
Sudan,SDN,2005,86
Sudan,SDN,2010,95
Sudan,SDN,2015,97
Sudan,SDN,2021,94
Syria,SYR,2001,87
Syria,SYR,2005,83
Syria,SYR,2010,95
Syria,SYR,2015,90
Syria,SYR,2021,91
Turkey,TUR,2001,88
Turkey,TUR,2005,82
Turkey,TUR,2010,74
Turkey,TUR,2015,82
Turkey,TUR,2021,80
Ukraine,UKR,2001,96
Ukraine,UKR,2005,95
Ukraine,UKR,2010,96
Ukraine,UKR,2015,97
Ukraine,UKR,2021,100
