Entity,Code,Year,Active accounts (90 day)
East Asia and Pacific,,2011,2075041
East Asia and Pacific,,2012,1627117
East Asia and Pacific,,2014,3678967
East Asia and Pacific,,2016,13467273
East Asia and Pacific,,2018,43524778
East Asia and Pacific,,2020,89941300
East Asia and Pacific,,2021,117263315
Europe and Central Asia,,2011,321254
Europe and Central Asia,,2012,355037
Europe and Central Asia,,2014,615002
Europe and Central Asia,,2016,2997471
Europe and Central Asia,,2018,5803499
Europe and Central Asia,,2020,7421495
Europe and Central Asia,,2021,8439468
Latin America and the Caribbean,,2011,778473
Latin America and the Caribbean,,2012,1742429
Latin America and the Caribbean,,2014,6595930
Latin America and the Caribbean,,2016,9883693
Latin America and the Caribbean,,2018,13452535
Latin America and the Caribbean,,2020,21350055
Latin America and the Caribbean,,2021,26464293
Middle East and North Africa,,2011,78126
Middle East and North Africa,,2012,1383116
Middle East and North Africa,,2014,9421039
Middle East and North Africa,,2016,15175235
Middle East and North Africa,,2018,18349762
Middle East and North Africa,,2020,4228320
Middle East and North Africa,,2021,7347043
South Asia,,2011,397978
South Asia,,2012,2492444
South Asia,,2014,16843124
South Asia,,2016,48272639
South Asia,,2018,82056644
South Asia,,2020,95661645
South Asia,,2021,103021085
Sub-Saharan Africa,,2011,16535767
Sub-Saharan Africa,,2012,27475953
Sub-Saharan Africa,,2014,62255322
Sub-Saharan Africa,,2016,102975366
Sub-Saharan Africa,,2018,158200707
Sub-Saharan Africa,,2020,220535724
Sub-Saharan Africa,,2021,255460875
