Entity,Code,Year,Domestic general government health expenditure (% of GDP)
Afghanistan,AFG,2005,0.5291841
Afghanistan,AFG,2010,0.46915734
Afghanistan,AFG,2015,0.52267283
Afghanistan,AFG,2019,1.0844309
Europe and Central Asia (WB),,2000,5.855163
Europe and Central Asia (WB),,2005,6.339665
Europe and Central Asia (WB),,2010,6.7496057
Europe and Central Asia (WB),,2015,6.7325644
Europe and Central Asia (WB),,2019,6.8415995
Guatemala,GTM,2000,1.9127058
Guatemala,GTM,2005,1.8811569
Guatemala,GTM,2010,2.0614166
Guatemala,GTM,2015,2.2782013
Guatemala,GTM,2019,2.386817
Guinea,GIN,2000,0.3012518
Guinea,GIN,2005,0.26129073
Guinea,GIN,2010,0.36297843
Guinea,GIN,2015,0.42931205
Guinea,GIN,2019,0.897333
High-income countries,,2000,5.59964
High-income countries,,2005,6.339297
High-income countries,,2010,7.2127023
High-income countries,,2015,7.599816
High-income countries,,2019,7.7223773
Mongolia,MNG,2000,3.6193821
Mongolia,MNG,2005,2.2726505
Mongolia,MNG,2010,2.4448433
Mongolia,MNG,2015,2.3892858
Mongolia,MNG,2019,2.13345
Romania,ROU,2000,3.3358548
Romania,ROU,2005,4.4098105
Romania,ROU,2010,4.606637
Romania,ROU,2015,3.8559978
Romania,ROU,2019,4.6036143
United States,USA,2000,5.542262
United States,USA,2005,6.629409
United States,USA,2010,7.944765
United States,USA,2015,8.452505
United States,USA,2019,8.524923
