Entity,Code,Year,Population density,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,61.480553,1516.3057,40099460.0,
Africa,,2021,46.577396,,1393676724.0,
Albania,ALB,2021,104.18649,14518.906,2854710.0,
Algeria,DZA,2021,18.548601,11039.806,44177964.0,
Angola,AGO,2021,27.676086,5908.57,34503776.0,
Argentina,ARG,2021,16.544363,21527.195,45276788.0,
Asia,,2021,150.95679,,4693332132.0,
Bahrain,BHR,2021,1864.0331,49387.418,1463266.0,
Bangladesh,BGD,2021,1301.039,5911.013,169356240.0,
Belarus,BLR,2021,47.187763,19751.203,9578172.0,
Belgium,BEL,2021,383.46817,51739.54,11611416.0,
Belize,BLZ,2021,17.53779,8762.623,400037.0,
Bermuda,BMU,2021,1189.1296,80271.13,64213.0,
Bolivia,BOL,2021,11.150627,8052.1772,12079474.0,
Botswana,BWA,2021,4.5672965,14840.913,2588424.0,
Brazil,BRA,2021,25.642813,14592.353,214326224.0,
Brunei,BRN,2021,84.51271,60127.023,445382.0,
Burundi,BDI,2021,488.7545,705.0304,12551215.0,
Cameroon,CMR,2021,57.53767,3700.4644,27198632.0,
Canada,CAN,2021,4.255717,47892.945,38155012.0,
Central African Republic,CAF,2021,8.759775,837.5047,5457165.0,
Chad,TCD,2021,13.64338,1425.4945,17179744.0,
Chile,CHL,2021,26.217007,25449.13,19493184.0,
China,CHN,2021,151.8813,17602.695,1425893504.0,
Comoros,COM,2021,441.50027,3228.5269,821632.0,
Congo,COG,2021,17.088768,3234.393,5835814.0,
Curacao,CUW,2021,428.7117,20783.086,190348.0,
Democratic Republic of Congo,COD,2021,42.29908,1073.6433,95894120.0,
Ecuador,ECU,2021,71.66104,10668.758,17797736.0,
Ethiopia,ETH,2021,106.57991,2319.0684,120283024.0,
Europe,,2021,33.709713,,746417727.0,
Fiji,FJI,2021,50.608376,10359.204,924615.0,
France,FRA,2021,117.853386,44993.125,64531448.0,
Gabon,GAB,2021,9.085982,13813.723,2341185.0,
Germany,DEU,2021,238.72624,53179.656,83408560.0,
Ghana,GHA,2021,144.30011,5435.238,32833036.0,
Greece,GRC,2021,81.03466,29548.04,10445368.0,
Hong Kong,HKG,2021,7137.6953,59978.15,7494580.0,
India,IND,2021,473.41876,6592.042,1407563904.0,
Indonesia,IDN,2021,145.80582,11858.146,273753184.0,
Iran,IRN,2021,54.190098,15004.6875,87923432.0,
Iraq,IRQ,2021,100.278244,8962.395,43533592.0,
Ireland,IRL,2021,72.38387,102496.22,4986525.0,
Italy,ITA,2021,200.3278,41929.43,59240336.0,
Jamaica,JAM,2021,261.09888,9596.564,2827701.0,
Japan,JPN,2021,341.8725,40784.383,124612528.0,
Laos,LAO,2021,32.170948,7846.975,7425055.0,
Latvia,LVA,2021,30.112904,32081.455,1873926.0,
Lebanon,LBN,2021,546.6888,12977.202,5592626.0,
Libya,LBY,2021,3.8278642,21965.174,6735280.0,
Lithuania,LTU,2021,44.50099,39305.613,2786652.0,
Macao,MAC,2021,20869.79,64796.996,686616.0,
Malawi,MWI,2021,210.9646,1491.1339,19889742.0,
Maldives,MDV,2021,1738.23,18765.217,521469.0,
Mali,MLI,2021,17.952114,2120.6233,21904990.0,
Mauritania,MRT,2021,4.477521,5307.522,4614981.0,
Mauritius,MUS,2021,639.86304,20967.947,1298922.0,
Mexico,MEX,2021,65.179214,19086.105,126705136.0,
Mongolia,MNG,2021,2.1494493,11668.431,3347782.0,
Myanmar,MMR,2021,82.427704,4032.6257,53798088.0,
Namibia,NAM,2021,3.0732183,9137.797,2530150.0,
Nepal,NPL,2021,209.52206,3831.9485,30034988.0,
Nicaragua,NIC,2021,56.92659,5638.748,6850546.0,
Niger,NER,2021,19.935835,1186.5768,25252722.0,
North America,,2021,28.167295,,597123384.0,
Oceania,,2021,5.236808,,44492065.0,
Oman,OMN,2021,14.605732,34294.766,4520474.0,
Pakistan,PAK,2021,300.17917,5232.1426,231402112.0,
Palau,PLW,2021,39.239132,13785.397,18050.0,
Panama,PAN,2021,58.658184,29037.945,4351264.0,
Philippines,PHL,2021,381.9309,8094.693,113880336.0,
Qatar,QAT,2021,233.96336,92862.35,2688239.0,
Russia,RUS,2021,8.860225,27960.102,145102752.0,
Rwanda,RWA,2021,545.6786,2238.9573,13461891.0,
Saudi Arabia,SAU,2021,16.723528,44339.312,35950396.0,
Seychelles,SYC,2021,231.4913,28760.516,106486.0,
Sint Maarten (Dutch part),SXM,2021,1295.9117,,44061.0,
South America,,2021,24.86892,,434254167.0,
South Korea,KOR,2021,531.04645,44232.207,51830136.0,
Sri Lanka,LKA,2021,351.97928,13386.682,21773438.0,
Sudan,SDN,2021,24.441757,3701.069,45657204.0,
Sweden,SWE,2021,25.699778,53613.42,10467095.0,
Tanzania,TZA,2021,71.78633,2581.6997,63588332.0,
Togo,TGO,2021,158.94151,2124.8042,8644829.0,
Turkey,TUR,2021,110.15086,31466.56,84775408.0,
Uganda,UGA,2021,228.67435,2246.414,45853780.0,
United States,USA,2021,36.84073,63669.71,336997632.0,
Vanuatu,VUT,2021,26.180967,2783.0195,319146.0,
