Entity,Code,Year,Cost of Basic Needs - Number in poverty (Estimated),818118-annotations
East Asia (Moatsos),,1820,332152711,
East Asia (Moatsos),,1850,367218020,
East Asia (Moatsos),,1900,352401016,
East Asia (Moatsos),,1950,553170970,
East Asia (Moatsos),,2000,437766689,
East Asia (Moatsos),,2018,82065570,
Eastern Europe and former USSR (Moatsos),,1820,84036528,
Eastern Europe and former USSR (Moatsos),,1850,99627744,
Eastern Europe and former USSR (Moatsos),,1900,83349650,
Eastern Europe and former USSR (Moatsos),,1950,50822838,
Eastern Europe and former USSR (Moatsos),,2000,54460121,
Eastern Europe and former USSR (Moatsos),,2018,9061431,
Latin America and Caribbean (Moatsos),,1820,17690429,
Latin America and Caribbean (Moatsos),,1850,25858773,
Latin America and Caribbean (Moatsos),,1900,46334599,
Latin America and Caribbean (Moatsos),,1950,74605546,
Latin America and Caribbean (Moatsos),,2000,64398981,
Latin America and Caribbean (Moatsos),,2018,44254834,
Middle East and North Africa (Moatsos),,1820,30701640,
Middle East and North Africa (Moatsos),,1850,33953186,
Middle East and North Africa (Moatsos),,1900,39155833,
Middle East and North Africa (Moatsos),,1950,37247317,
Middle East and North Africa (Moatsos),,2000,10458656,
Middle East and North Africa (Moatsos),,2018,3859593,
South and South-East Asia (Moatsos),,1820,175353610,
South and South-East Asia (Moatsos),,1850,202629062,
South and South-East Asia (Moatsos),,1900,259540636,
South and South-East Asia (Moatsos),,1950,437198260,
South and South-East Asia (Moatsos),,2000,661582741,
South and South-East Asia (Moatsos),,2018,251716240,
Sub-Saharan Africa (Moatsos),,1820,10094848,
Sub-Saharan Africa (Moatsos),,1850,17075122,
Sub-Saharan Africa (Moatsos),,1900,30155713,
Sub-Saharan Africa (Moatsos),,1950,125692137,
Sub-Saharan Africa (Moatsos),,2000,320514666,
Sub-Saharan Africa (Moatsos),,2018,382632859,
Western Europe (Moatsos),,1820,101142055,
Western Europe (Moatsos),,1850,111432707,
Western Europe (Moatsos),,1900,96920586,
Western Europe (Moatsos),,1950,62558466,
Western Europe (Moatsos),,2000,305250,
Western Europe (Moatsos),,2018,4280322,
Western offshoots (Moatsos),,1820,6132251,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1850,7390456,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1900,7805826,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,1950,1301316,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2000,3330468,"United States, Canada, Australia and New Zealand"
Western offshoots (Moatsos),,2018,5889026,"United States, Canada, Australia and New Zealand"
