Entity,Code,Year,Palm fruit oil | 00000254 || Yield | 005419 || tonnes per hectare
Africa (FAO),,1961,3.3432
Africa (FAO),,1970,3.6044
Africa (FAO),,1980,3.6643999
Africa (FAO),,1990,3.8488
Africa (FAO),,2000,3.6416998
Africa (FAO),,2010,3.8785
Africa (FAO),,2021,4.0285
China,CHN,1990,12.3256
China,CHN,2000,14.222199
China,CHN,2010,14.0426
China,CHN,2021,13.1635
Guatemala,GTM,1990,10.8
Guatemala,GTM,2000,15.2381
Guatemala,GTM,2010,15.7983
Guatemala,GTM,2021,14.4314995
Melanesia,OWID_MNS,1961,18.181799
Melanesia,OWID_MNS,1970,18.181799
Melanesia,OWID_MNS,1980,16.726099
Melanesia,OWID_MNS,1990,14.849999
Melanesia,OWID_MNS,2000,17.2222
Melanesia,OWID_MNS,2010,13.7905
Melanesia,OWID_MNS,2021,13.0849
Upper-middle-income countries,,1961,11.116163
Upper-middle-income countries,,1970,14.075869
Upper-middle-income countries,,1980,16.393078
Upper-middle-income countries,,1990,16.930346
Upper-middle-income countries,,2000,16.266598
Upper-middle-income countries,,2010,16.76503
Upper-middle-income countries,,2021,17.222006
