Entity,Code,Year,Aquaculture production (metric tons)
East Asia and Pacific (WB),,1960,1566799.0
East Asia and Pacific (WB),,1970,2749797.0
East Asia and Pacific (WB),,1980,6159881.0
East Asia and Pacific (WB),,1990,13661964.0
East Asia and Pacific (WB),,2000,36252250.0
East Asia and Pacific (WB),,2010,65745060.0
East Asia and Pacific (WB),,2020,99839784.0
Europe and Central Asia (WB),,1960,261934.0
Europe and Central Asia (WB),,1970,472162.0
Europe and Central Asia (WB),,1980,730339.0
Europe and Central Asia (WB),,1990,1627793.0
Europe and Central Asia (WB),,2000,2142174.0
Europe and Central Asia (WB),,2010,2714842.8
Europe and Central Asia (WB),,2020,3822514.2
Latin America and Caribbean (WB),,1960,180.0
Latin America and Caribbean (WB),,1970,1221.0
Latin America and Caribbean (WB),,1980,28374.0
Latin America and Caribbean (WB),,1990,229472.0
Latin America and Caribbean (WB),,2000,872420.0
Latin America and Caribbean (WB),,2010,1868420.9
Latin America and Caribbean (WB),,2020,3780916.8
Middle East and North Africa (WB),,1960,13871.0
Middle East and North Africa (WB),,1970,18861.0
Middle East and North Africa (WB),,1980,43979.0
Middle East and North Africa (WB),,1990,112076.0
Middle East and North Africa (WB),,2000,422223.0
Middle East and North Africa (WB),,2010,1232582.0
Middle East and North Africa (WB),,2020,2270702.2
North America (WB),,1960,107396.0
North America (WB),,1970,172272.0
North America (WB),,1980,171931.0
North America (WB),,1990,356943.0
North America (WB),,2000,584495.0
North America (WB),,2010,659040.0
North America (WB),,2020,619541.6
South Asia (WB),,1960,95250.0
South Asia (WB),,1970,189015.0
South Asia (WB),,1980,463044.0
South Asia (WB),,1990,1230388.0
South Asia (WB),,2000,2631909.0
South Asia (WB),,2010,5277221.0
South Asia (WB),,2020,11514786.0
Sub-Saharan Africa (WB),,1960,2385.0
Sub-Saharan Africa (WB),,1970,4243.0
Sub-Saharan Africa (WB),,1980,7048.0
Sub-Saharan Africa (WB),,1990,26232.0
Sub-Saharan Africa (WB),,2000,107193.0
Sub-Saharan Africa (WB),,2010,496516.84
Sub-Saharan Africa (WB),,2020,731817.56
