Entity,Code,Year,Sunflower seed | 00000267 || Yield | 005419 || tonnes per hectare
Austria,AUT,1961,1.9275
Austria,AUT,1970,2.0
Austria,AUT,1980,2.2419
Austria,AUT,1990,2.468
Austria,AUT,2000,2.4606
Austria,AUT,2010,2.6169
Austria,AUT,2021,3.0477998
China,CHN,1961,1.2449
China,CHN,1970,0.875
China,CHN,1980,1.0791
China,CHN,1990,1.8785
China,CHN,2000,1.5899
China,CHN,2010,2.3353999
China,CHN,2021,3.0319
North Macedonia,MKD,2000,1.2337999
North Macedonia,MKD,2010,1.8843
North Macedonia,MKD,2021,1.0954
Switzerland,CHE,2000,3.2607
Switzerland,CHE,2010,2.975
Switzerland,CHE,2021,2.3046
Ukraine,UKR,2000,1.2167
Ukraine,UKR,2010,1.4961
Ukraine,UKR,2021,2.4594
Uzbekistan,UZB,2000,0.7143
Uzbekistan,UZB,2010,1.5813999
Uzbekistan,UZB,2021,3.6815
