Entity,Code,Year,DTP3 (% of one-year-olds immunized),Share - Question: q25 - Vaccines are safe - Answer: Disagree - Gender: all - Age group: all,Continent
Afghanistan,AFG,2019,72.0,,
Albania,ALB,2019,99.0,,
Algeria,DZA,2019,91.0,,
Argentina,ARG,2019,83.0,,
Armenia,ARM,2019,92.0,,
Asia,,2019,,4.446228,
Australia,AUS,2019,95.0,,
Austria,AUT,2019,85.0,,
Azerbaijan,AZE,2019,94.0,,
Bangladesh,BGD,2019,98.0,,
Belgium,BEL,2019,97.0,,
Benin,BEN,2019,76.0,,
Bolivia,BOL,2019,75.0,,
Bosnia and Herzegovina,BIH,2019,73.0,,
Botswana,BWA,2019,95.0,,
Brazil,BRA,2019,70.0,,
Bulgaria,BGR,2019,93.0,,
Burundi,BDI,2019,93.0,,
Cameroon,CMR,2019,67.0,,
Canada,CAN,2019,91.0,,
Chad,TCD,2019,50.0,,
Congo,COG,2019,79.0,,
Cote d'Ivoire,CIV,2019,81.0,,
Ethiopia,ETH,2019,68.0,,
France,FRA,2019,96.0,,
Gabon,GAB,2019,70.0,,
Ghana,GHA,2019,97.0,,
Guinea,GIN,2019,47.0,,
Haiti,HTI,2019,51.0,,
India,IND,2019,91.0,,
Italy,ITA,2019,96.0,,
Kuwait,KWT,2019,92.0,,
Laos,LAO,2019,80.0,,
Liberia,LBR,2019,70.0,,
Madagascar,MDG,2019,68.0,,
Mauritania,MRT,2019,80.0,,
Niger,NER,2019,81.0,,
Nigeria,NGA,2019,56.0,,
Pakistan,PAK,2019,84.0,,
Poland,POL,2019,95.0,,
Russia,RUS,2019,97.0,,
South Africa,ZAF,2019,85.0,,
Togo,TGO,2019,84.0,,
Venezuela,VEN,2019,64.0,,
