Entity,Code,Year,Deaths - Infectious diseases - OWID - Sex: Both - Age: All Ages (Number)
Guinea-Bissau,GNB,1990,9364
Guinea-Bissau,GNB,1995,9248
Guinea-Bissau,GNB,2000,9381
Guinea-Bissau,GNB,2005,9312
Guinea-Bissau,GNB,2010,7372
Guinea-Bissau,GNB,2015,6626
Guinea-Bissau,GNB,2019,6007
Niue,NIU,1990,2
Niue,NIU,1995,2
Niue,NIU,2000,1
Niue,NIU,2005,1
Niue,NIU,2010,1
Niue,NIU,2015,1
Niue,NIU,2019,1
Saint Kitts and Nevis,KNA,1990,38
Saint Kitts and Nevis,KNA,1995,38
Saint Kitts and Nevis,KNA,2000,41
Saint Kitts and Nevis,KNA,2005,42
Saint Kitts and Nevis,KNA,2010,43
Saint Kitts and Nevis,KNA,2015,51
Saint Kitts and Nevis,KNA,2019,58
