Entity,Code,Year,Ozone concentration-StateofGlobalAir
Cape Verde,CPV,1990,43
Cape Verde,CPV,1995,44
Cape Verde,CPV,2000,44
Cape Verde,CPV,2005,44
Cape Verde,CPV,2010,44
Cape Verde,CPV,2015,43
Croatia,HRV,1990,69
Croatia,HRV,1995,68
Croatia,HRV,2000,67
Croatia,HRV,2005,66
Croatia,HRV,2010,66
Croatia,HRV,2015,65
Ecuador,ECU,1990,33
Ecuador,ECU,1995,33
Ecuador,ECU,2000,34
Ecuador,ECU,2005,36
Ecuador,ECU,2010,39
Ecuador,ECU,2015,41
Germany,DEU,1990,55
Germany,DEU,1995,55
Germany,DEU,2000,56
Germany,DEU,2005,56
Germany,DEU,2010,55
Germany,DEU,2015,55
Sweden,SWE,1990,47
Sweden,SWE,1995,47
Sweden,SWE,2000,47
Sweden,SWE,2005,46
Sweden,SWE,2010,46
Sweden,SWE,2015,46
