Entity,Code,Year,7.2.1 - Renewable energy share in the total final energy consumption (%) - EG_FEC_RNEW
East Timor,TLS,2000,0.0
East Timor,TLS,2005,43.61
East Timor,TLS,2010,34.82
East Timor,TLS,2015,18.0
East Timor,TLS,2020,11.42
Egypt,EGY,2000,8.26
Egypt,EGY,2005,6.48
Egypt,EGY,2010,5.37
Egypt,EGY,2015,5.28
Egypt,EGY,2020,6.51
Gibraltar,GIB,2000,0.0
Gibraltar,GIB,2005,0.0
Gibraltar,GIB,2010,0.0
Gibraltar,GIB,2015,0.0
Gibraltar,GIB,2020,0.0
Laos,LAO,2000,81.54
Laos,LAO,2005,73.93
Laos,LAO,2010,64.85
Laos,LAO,2015,53.27
Laos,LAO,2020,49.91
Mayotte,MYT,2000,16.17
Mayotte,MYT,2005,11.45
Mayotte,MYT,2010,9.96
