Entity,Code,Year,Total dependency ratio - Sex: all - Age: none - Variant: estimates
Curacao,CUW,1950,72.43
Curacao,CUW,1960,84.92
Curacao,CUW,1970,80.99
Curacao,CUW,1980,59.44
Curacao,CUW,1990,54.11
Curacao,CUW,2000,54.25
Curacao,CUW,2010,50.85
Curacao,CUW,2021,47.02
Greece,GRC,1950,55.74
Greece,GRC,1960,53.02
Greece,GRC,1970,56.64
Greece,GRC,1980,58.62
Greece,GRC,1990,49.72
Greece,GRC,2000,46.39
Greece,GRC,2010,51.1
Greece,GRC,2021,57.65
Thailand,THA,1950,83.06
Thailand,THA,1960,88.89
Thailand,THA,1970,91.25
Thailand,THA,1980,72.68
Thailand,THA,1990,52.11
Thailand,THA,2000,43.18
Thailand,THA,2010,39.15
Thailand,THA,2021,43.5
