Entity,Code,Year,Low-carbon electricity per capita - kWh
French Polynesia,PYF,2000,478.20386
French Polynesia,PYF,2010,951.391
Madagascar,MDG,2000,33.299557
Madagascar,MDG,2010,32.21197
Nicaragua,NIC,2000,87.835335
Nicaragua,NIC,2010,228.83545
Paraguay,PRY,2000,10336.044
Paraguay,PRY,2010,9277.785
United Arab Emirates,ARE,1980,0.0
United Arab Emirates,ARE,1990,0.0
United Arab Emirates,ARE,2000,0.0
United Arab Emirates,ARE,2010,2.357997
United Arab Emirates,ARE,2022,2867.239
United Kingdom,GBR,1965,364.13715
United Kingdom,GBR,1970,548.9292
United Kingdom,GBR,1980,727.4928
United Kingdom,GBR,1990,1250.9954
United Kingdom,GBR,2000,1613.7627
United Kingdom,GBR,2010,1407.2646
United Kingdom,GBR,2022,2705.864
