Entity,Code,Year,Terrorism deaths
Afghanistan,AFG,1970,0
Afghanistan,AFG,1980,0
Afghanistan,AFG,1990,12
Afghanistan,AFG,2000,38
Afghanistan,AFG,2010,1157
Afghanistan,AFG,2021,4337
Colombia,COL,1970,0
Colombia,COL,1980,159
Colombia,COL,1990,694
Colombia,COL,2000,426
Colombia,COL,2010,56
Colombia,COL,2021,71
Ethiopia,ETH,1970,1
Ethiopia,ETH,1980,0
Ethiopia,ETH,1990,17
Ethiopia,ETH,2000,3
Ethiopia,ETH,2010,8
Ethiopia,ETH,2021,488
Syria,SYR,1970,0
Syria,SYR,1980,89
Syria,SYR,1990,0
Syria,SYR,2000,0
Syria,SYR,2010,0
Syria,SYR,2021,248
Yemen,YEM,1970,0
Yemen,YEM,1980,0
Yemen,YEM,1990,0
Yemen,YEM,2000,19
Yemen,YEM,2010,345
Yemen,YEM,2021,859
