Entity,Code,Year,Share of cereals that are allocated to animal feed
Brazil,BRA,1961,45.53422
Brazil,BRA,1970,48.93907
Brazil,BRA,1980,54.26557
Brazil,BRA,1990,51.69911
Brazil,BRA,2000,62.75883
Brazil,BRA,2010,59.395042
Brazil,BRA,2020,68.37633
Canada,CAN,1961,84.428116
Canada,CAN,1970,90.097
Canada,CAN,1980,88.6176
Canada,CAN,1990,87.00321
Canada,CAN,2000,84.33762
Canada,CAN,2010,75.17407
Canada,CAN,2020,76.600716
China,CHN,1961,22.93071
China,CHN,1970,24.922894
China,CHN,1980,29.383093
China,CHN,1990,23.545464
China,CHN,2000,33.60565
China,CHN,2010,32.81
China,CHN,2020,38.540737
India,IND,1961,1.2217518
India,IND,1970,1.1485345
India,IND,1980,1.1141267
India,IND,1990,2.3255124
India,IND,2000,3.8046474
India,IND,2010,4.7940736
India,IND,2020,7.6714115
Spain,ESP,1961,43.655647
Spain,ESP,1970,66.40292
Spain,ESP,1980,76.06389
Spain,ESP,1990,74.136795
Spain,ESP,2000,78.60743
Spain,ESP,2010,77.00094
Spain,ESP,2020,81.80262
United States,USA,1961,84.81997
United States,USA,1970,86.51307
United States,USA,1980,84.06082
United States,USA,1990,78.15843
United States,USA,2000,74.94367
United States,USA,2010,44.22795
United States,USA,2020,46.873005
