Entity,Code,Year,Number of ongoing conflicts - Conflict type: intrastate (internationalized),Number of ongoing conflicts - Conflict type: intrastate (non-internationalized),Number of ongoing conflicts - Conflict type: extrasystemic,Number of ongoing conflicts - Conflict type: interstate
World,OWID_WRL,1946,1,5,3,2
World,OWID_WRL,1949,0,12,4,3
World,OWID_WRL,1952,0,7,5,2
World,OWID_WRL,1955,0,7,6,0
World,OWID_WRL,1958,1,11,5,1
World,OWID_WRL,1961,2,15,2,1
World,OWID_WRL,1964,4,13,4,3
World,OWID_WRL,1967,2,21,4,5
World,OWID_WRL,1970,5,15,3,2
World,OWID_WRL,1973,3,16,3,3
World,OWID_WRL,1976,2,28,0,1
World,OWID_WRL,1979,4,33,0,3
World,OWID_WRL,1982,5,36,0,2
World,OWID_WRL,1985,4,31,0,2
World,OWID_WRL,1988,4,31,0,3
World,OWID_WRL,1991,2,49,0,2
World,OWID_WRL,1994,2,47,0,1
World,OWID_WRL,1997,4,34,0,1
World,OWID_WRL,2000,4,33,0,2
World,OWID_WRL,2003,3,28,0,2
World,OWID_WRL,2006,5,28,0,0
World,OWID_WRL,2009,7,30,0,0
World,OWID_WRL,2012,9,23,0,1
World,OWID_WRL,2015,21,32,0,1
World,OWID_WRL,2018,19,30,0,2
World,OWID_WRL,2022,22,30,0,3
