Entity,Code,Year,Vaccine importance (strongly disagree)
Australia,AUS,2015,1.61
Australia,AUS,2016,1.9
Australia,AUS,2018,1.6
Australia,AUS,2019,1.88
Bangladesh,BGD,2015,0.17
Bangladesh,BGD,2016,0.25
Bangladesh,BGD,2018,0.21
Bangladesh,BGD,2019,0.25
Canada,CAN,2015,2.0
Canada,CAN,2016,1.68
Canada,CAN,2018,2.09
Canada,CAN,2019,1.96
China,CHN,2015,1.08
China,CHN,2016,1.07
China,CHN,2018,0.74
China,CHN,2019,0.54
France,FRA,2015,3.87
France,FRA,2016,3.88
France,FRA,2018,3.83
France,FRA,2019,3.76
India,IND,2015,4.0
India,IND,2016,2.03
India,IND,2018,0.8
India,IND,2019,1.06
Japan,JPN,2015,0.72
Japan,JPN,2016,0.81
Japan,JPN,2018,1.45
Japan,JPN,2019,1.38
South Africa,ZAF,2015,2.59
South Africa,ZAF,2016,2.19
South Africa,ZAF,2018,2.28
South Africa,ZAF,2019,2.24
Spain,ESP,2015,1.31
Spain,ESP,2016,1.82
Spain,ESP,2018,1.68
Spain,ESP,2019,1.28
