Entity,Code,Year,Proportion of women in ministerial level positions (%)
Argentina,ARG,2005,8.3
Argentina,ARG,2008,23.1
Argentina,ARG,2010,20.0
Argentina,ARG,2012,17.6
Argentina,ARG,2014,17.6
Argentina,ARG,2016,17.4
Argentina,ARG,2018,25.0
Argentina,ARG,2020,18.181818
Australia,AUS,2005,20.0
Australia,AUS,2008,24.1
Australia,AUS,2010,23.3
Australia,AUS,2012,20.7
Australia,AUS,2014,17.2
Australia,AUS,2016,24.1
Australia,AUS,2018,21.4
Australia,AUS,2020,26.666666
Botswana,BWA,2005,26.7
Botswana,BWA,2008,27.8
Botswana,BWA,2010,11.8
Botswana,BWA,2014,12.5
Botswana,BWA,2016,15.8
Botswana,BWA,2018,15.8
Botswana,BWA,2020,15.789474
China,CHN,2005,6.3
China,CHN,2008,8.6
China,CHN,2010,11.5
China,CHN,2012,11.5
China,CHN,2014,8.3
China,CHN,2016,10.0
China,CHN,2018,6.5
China,CHN,2020,3.2258065
World,OWID_WRL,2005,14.196196
World,OWID_WRL,2008,16.075031
World,OWID_WRL,2010,16.159214
World,OWID_WRL,2012,16.669199
World,OWID_WRL,2014,17.258919
World,OWID_WRL,2016,18.407776
World,OWID_WRL,2018,21.029951
World,OWID_WRL,2020,21.971407
