Entity,Code,Year,Participation time in household and family care (Eurostat),Population (historical estimates),Continent
Belgium,BEL,2000,158.51851,10264351.0,
Belgium,BEL,2010,140.13423,10877948.0,
Estonia,EST,2000,184.0657,1396881.0,
Estonia,EST,2010,148.77463,1331535.0,
Europe,,2000,,727917165.0,
Europe,,2010,,737406197.0,
Finland,FIN,2000,146.86385,5176208.0,
Finland,FIN,2010,135.08983,5363279.0,
France,FRA,2000,167.65663,58665456.0,
France,FRA,2010,149.69254,62444568.0,
Germany,DEU,2000,160.74419,81551680.0,
Germany,DEU,2010,141.67508,81325088.0,
Italy,ITA,2000,177.71707,56966400.0,
Italy,ITA,2010,164.70811,59822452.0,
Norway,NOR,2000,143.4025,4491204.0,
Norway,NOR,2010,136.75978,4889747.0,
Poland,POL,2000,172.20618,38504432.0,
Poland,POL,2010,158.51924,38597356.0,
Spain,ESP,2000,168.69392,40741652.0,
Spain,ESP,2010,157.1806,46572776.0,
United Kingdom,GBR,2000,160.33455,58850044.0,
United Kingdom,GBR,2010,138.28055,62760048.0,
