Entity,Code,Year,Share of the daily caloric intake that comes from animal protein,GDP per capita,417485-annotations,Population (historical estimates),Continent
Africa,,2011,2.248441,,,1082676070.0,
Africa,,2018,2.2611477,,,1295265310.0,
Albania,ALB,2011,6.840902,9484.0,,2900660.0,
Albania,ALB,2018,7.3859224,11104.166,,2877019.0,
Argentina,ARG,2011,7.7992377,20003.0,,41520736.0,
Argentina,ARG,2018,8.4475355,18556.383,,44413592.0,
Asia,,2011,3.6926568,,,4268479060.0,
Asia,,2018,3.9850986,,,4588802751.0,
Australia,AUS,2011,8.948672,46132.0,,22357032.0,
Australia,AUS,2018,8.549043,49830.8,,24979228.0,
Bangladesh,BGD,2011,1.6595745,2772.0,,150211008.0,
Bangladesh,BGD,2018,1.9632466,4099.253,,163683952.0,
Belarus,BLR,2011,6.5268383,17918.0,,9706983.0,
Belarus,BLR,2018,6.1666665,18727.318,,9695573.0,
Bolivia,BOL,2011,5.2682505,5331.0,,10396249.0,
Bolivia,BOL,2018,5.7576737,6695.7744,,11606906.0,
Brazil,BRA,2011,6.115933,14831.0,,198185296.0,
Brazil,BRA,2018,6.738443,14033.565,,210166592.0,
Central African Republic,CAF,2011,3.64592,909.0,,4732037.0,
Central African Republic,CAF,2018,4.338205,623.4889,,5094795.0,
Chad,TCD,2011,4.178478,1661.0,,12317729.0,
Chad,TCD,2018,4.6928444,2046.3632,,15604213.0,
Democratic Republic of Congo,COD,2011,0.62677026,681.0,,68654272.0,
Democratic Republic of Congo,COD,2018,0.59502584,859.3817,,87087352.0,
Denmark,DNK,2011,7.828435,43575.0,,5576016.0,
Denmark,DNK,2018,9.422692,46312.344,,5766689.0,
Ecuador,ECU,2011,5.7653804,9985.0,,15237734.0,
Ecuador,ECU,2018,4.709475,10638.825,,17015672.0,
Ethiopia,ETH,2011,1.3141832,1199.0,,91817936.0,
Ethiopia,ETH,2018,1.0603589,1838.4904,,111129440.0,
Europe,,2011,6.8651032,,,738734474.0,
Europe,,2018,6.9257593,,,746577709.0,
Greece,GRC,2011,7.027153,24349.0,,11004730.0,
Greece,GRC,2018,7.5794477,23450.766,,10633275.0,
Honduras,HND,2011,3.228788,4421.0,,8622510.0,
Honduras,HND,2018,3.2158031,5041.6353,,9792854.0,
Hong Kong,HKG,2011,11.260208,44532.0,,7175370.0,
Hong Kong,HKG,2018,11.524219,50839.37,,7481563.0,
India,IND,2011,1.9324546,4768.0,,1257621248.0,
India,IND,2018,2.4124033,6806.4985,,1369003264.0,
Indonesia,IDN,2011,2.4990704,8849.0,,247099696.0,
Indonesia,IDN,2018,3.2701328,11851.737,,267066848.0,
Iran,IRN,2011,3.4617486,18024.0,,76342968.0,
Iran,IRN,2018,3.3803003,17011.305,,85617560.0,
Iraq,IRQ,2011,2.2670298,11484.0,,32378066.0,
Iraq,IRQ,2018,2.2058935,12835.8125,,40590700.0,
Italy,ITA,2011,6.73007,35151.0,,60025952.0,
Italy,ITA,2018,6.4441233,34364.168,,59877432.0,
Japan,JPN,2011,7.2035794,34979.0,,128007256.0,
Japan,JPN,2018,7.26689,38673.81,,126255872.0,
Kenya,KEN,2011,3.0628464,2712.0,,42635148.0,
Kenya,KEN,2018,2.7819686,3377.4705,,49953300.0,
Kuwait,KWT,2011,6.0362377,77126.0,,3143827.0,
Kuwait,KWT,2018,5.680302,65520.74,,4317190.0,
Kyrgyzstan,KGZ,2011,5.3191805,4142.0,,5552339.0,
Kyrgyzstan,KGZ,2018,5.1832843,5176.9883,,6223503.0,
Lesotho,LSO,2011,2.4064913,2346.0,,2037687.0,
Lesotho,LSO,2018,3.501767,2731.466,,2198030.0,
Liberia,LBR,2011,1.5511701,820.0,,4181148.0,
Liberia,LBR,2018,1.9703705,818.4211,,4889396.0,
Libya,LBY,2011,3.816814,12893.0,,6188135.0,
Libya,LBY,2018,4.3386583,15013.3125,,6477791.0,
Malawi,MWI,2011,1.0243714,1102.0,,15146095.0,
Malawi,MWI,2018,2.2123756,1116.6403,,18367886.0,
Malaysia,MYS,2011,5.873259,19390.0,,29184140.0,
Malaysia,MYS,2018,5.924242,24842.355,,32399270.0,
Mali,MLI,2011,3.3934312,1500.0,,16039734.0,
Mali,MLI,2018,2.4991322,1667.295,,19934304.0,
Mexico,MEX,2011,5.381842,15210.0,,114150480.0,
Mexico,MEX,2018,5.7000628,16494.078,,124013864.0,
Mongolia,MNG,2011,6.9914,9484.0,,2743946.0,
Mongolia,MNG,2018,9.188659,13382.542,,3163994.0,
Morocco,MAR,2011,2.915193,7226.0,,32903708.0,
Morocco,MAR,2018,3.2910802,8451.136,,35927516.0,
Mozambique,MOZ,2011,0.99618816,925.0,,23760424.0,
Mozambique,MOZ,2018,1.4648148,1132.7709,,29423882.0,
Myanmar,MMR,2011,5.2039127,3884.0,,49794528.0,
Myanmar,MMR,2018,6.4146433,5838.2173,,52666016.0,
Nigeria,NGA,2011,1.4103343,5136.0,,165463744.0,
Nigeria,NGA,2018,1.1337727,5237.662,,198387616.0,
North America,,2011,6.651527,,,548684151.0,
North America,,2018,6.8538923,,,585864285.0,
Oceania,,2011,8.261252,,,37730469.0,
Oceania,,2018,7.8378496,,,42540030.0,
Pakistan,PAK,2011,3.9229798,4464.0,,198602736.0,
Pakistan,PAK,2018,4.639092,5510.3965,,219731488.0,
Peru,PER,2011,5.3272166,10044.0,,29477722.0,
Peru,PER,2018,6.215385,12310.085,,32203946.0,
Philippines,PHL,2011,4.070598,5851.0,,96337912.0,
Philippines,PHL,2018,3.9882739,8139.1396,,108568832.0,
Portugal,PRT,2011,8.241409,25133.0,,10564820.0,
Portugal,PRT,2018,8.90662,27035.6,,10289833.0,
Qatar,QAT,2011,,155533.0,,1804175.0,
Qatar,QAT,2018,,153764.17,,2766743.0,
Russia,RUS,2011,6.5121584,23130.0,,143364544.0,
Russia,RUS,2018,6.6234384,24668.908,,145652288.0,
Saudi Arabia,SAU,2011,4.9719625,48470.0,,30150952.0,
Saudi Arabia,SAU,2018,3.9249847,50304.75,,35018132.0,
South America,,2011,6.0155244,,,397135158.0,
South America,,2018,6.4355884,,,424740741.0,
Spain,ESP,2011,8.286074,31600.0,,46729232.0,
Spain,ESP,2018,8.244164,31496.52,,46792044.0,
Sri Lanka,LKA,2011,2.4117646,8918.0,,20859746.0,
Sri Lanka,LKA,2018,2.7057548,11662.906,,21580712.0,
Switzerland,CHE,2011,6.8862786,58686.0,,7910988.0,
Switzerland,CHE,2018,7.255401,61372.73,,8514431.0,
Taiwan,TWN,2011,5.7954473,38565.0,,23143076.0,
Taiwan,TWN,2018,5.8841743,44663.863,,23726186.0,
Tajikistan,TJK,2011,2.3136244,3111.0,,7784820.0,
Tajikistan,TJK,2018,4.0059433,4440.382,,9128131.0,
Tanzania,TZA,2011,1.8173798,2227.0,,46416032.0,
Tanzania,TZA,2018,1.9466326,2874.963,,58090444.0,
Turkey,TUR,2011,3.5437634,17919.0,,74173856.0,
Turkey,TUR,2018,4.1996803,19270.22,,82809304.0,
Turkmenistan,TKM,2011,4.987324,16518.0,,5360813.0,
Turkmenistan,TKM,2018,5.197779,26318.365,,6065072.0,
Uganda,UGA,2011,2.1953974,1890.0,,33295738.0,
Uganda,UGA,2018,2.1129942,2045.4203,,41515400.0,
Ukraine,UKR,2011,5.3731155,10333.0,,45516136.0,
Ukraine,UKR,2018,5.438306,9813.363,,44446952.0,
United Arab Emirates,ARE,2011,3.4504023,65307.0,,8575210.0,
United Arab Emirates,ARE,2018,4.905215,76397.82,,9140172.0,
United States,USA,2011,7.6371603,49675.0,,313876608.0,
United States,USA,2018,7.7462454,55334.74,,332140032.0,
World,OWID_WRL,2011,4.3412256,,,7073125376.0,
World,OWID_WRL,2018,4.4930763,15212.415,,7683789824.0,
