Entity,Code,Year,Annual consumption-based CO₂ emissions per GDP (kg per international-$)
Brazil,BRA,1990,0.20704526
Brazil,BRA,1995,0.20371205
Brazil,BRA,2000,0.2019458
Brazil,BRA,2005,0.16448785
Brazil,BRA,2010,0.1721241
Brazil,BRA,2015,0.16758941
Brazil,BRA,2018,0.16130388
China,CHN,1990,0.68545413
China,CHN,1995,0.62244356
China,CHN,2000,0.5480767
China,CHN,2005,0.548392
China,CHN,2010,0.5705661
China,CHN,2015,0.5306765
China,CHN,2018,0.5297279
European Union (27),,1990,0.5013262
European Union (27),,1995,0.43718782
European Union (27),,2000,0.36317208
European Union (27),,2005,0.34119898
European Union (27),,2010,0.2966375
European Union (27),,2015,0.23600402
European Union (27),,2018,0.22809461
India,IND,1990,0.328633
India,IND,1995,0.33126456
India,IND,2000,0.32748026
India,IND,2005,0.29557186
India,IND,2010,0.29685974
India,IND,2015,0.28861102
India,IND,2018,0.27448177
South Africa,ZAF,1990,0.9322072
South Africa,ZAF,1995,1.003766
South Africa,ZAF,2000,0.8411535
South Africa,ZAF,2005,0.6623697
South Africa,ZAF,2010,0.58283263
South Africa,ZAF,2015,0.5097125
South Africa,ZAF,2018,0.4810839
United Kingdom,GBR,1990,0.44471648
United Kingdom,GBR,1995,0.39689842
United Kingdom,GBR,2000,0.39382094
United Kingdom,GBR,2005,0.3471325
United Kingdom,GBR,2010,0.3089252
United Kingdom,GBR,2015,0.24366446
United Kingdom,GBR,2018,0.21006306
United States,USA,1990,0.5457107
United States,USA,1995,0.5111623
United States,USA,2000,0.48204222
United States,USA,2005,0.45730323
United States,USA,2010,0.39067262
United States,USA,2015,0.34256792
United States,USA,2018,0.31962216
