Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Infant mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles
Bangladesh,BGD,1960,17.47932
Bangladesh,BGD,1970,16.91859
Bangladesh,BGD,1980,13.773315
Bangladesh,BGD,1990,10.103401
Bangladesh,BGD,2000,6.3106146
Bangladesh,BGD,2010,3.890367
Bangladesh,BGD,2021,2.2906148
China,CHN,1970,7.9312105
China,CHN,1980,4.6886225
China,CHN,1990,4.2686987
China,CHN,2000,2.9989698
China,CHN,2010,1.2504863
China,CHN,2021,0.50500715
France,FRA,1949,5.143279
France,FRA,1960,2.3636708
France,FRA,1970,1.5085185
France,FRA,1980,1.0116391
France,FRA,1990,0.74808645
France,FRA,2000,0.40918666
France,FRA,2010,0.3113169
France,FRA,2021,0.3448095
New Zealand,NZL,1949,2.9111435
New Zealand,NZL,1960,2.2549143
New Zealand,NZL,1970,1.6888514
New Zealand,NZL,1980,1.2752035
New Zealand,NZL,1990,0.9164131
New Zealand,NZL,2000,0.609106
New Zealand,NZL,2010,0.51629806
New Zealand,NZL,2021,0.39449927
Northern America (SDG),,1990,0.91543835
Northern America (SDG),,2000,0.69797254
Northern America (SDG),,2010,0.61378086
Northern America (SDG),,2021,0.52738595
Oceania excluding Australia and New Zealand,,1990,5.2675514
Oceania excluding Australia and New Zealand,,2000,4.6381464
Oceania excluding Australia and New Zealand,,2010,4.007647
Oceania excluding Australia and New Zealand,,2021,3.1438167
Singapore,SGP,1949,9.901128
Singapore,SGP,1960,3.546885
Singapore,SGP,1970,2.170957
Singapore,SGP,1980,1.2014381
Singapore,SGP,1990,0.6141037
Singapore,SGP,2000,0.3034565
Singapore,SGP,2010,0.2256891
Singapore,SGP,2021,0.17289603
Syria,SYR,1960,11.55355
Syria,SYR,1970,7.483106
Syria,SYR,1980,4.635138
Syria,SYR,1990,3.0064714
Syria,SYR,2000,1.9557173
Syria,SYR,2010,1.6205051
Syria,SYR,2021,1.8438227
