Entity,Code,Year,Neonatal deaths
Algeria,DZA,1950,10794
Algeria,DZA,1960,17175
Algeria,DZA,1970,24987
Algeria,DZA,1980,28527
Algeria,DZA,1990,19948
Algeria,DZA,2000,15558
Algeria,DZA,2010,14787
Algeria,DZA,2019,10651
Belize,BLZ,1950,138
Belize,BLZ,1960,143
Belize,BLZ,1970,129
Belize,BLZ,1980,118
Belize,BLZ,1990,102
Belize,BLZ,2000,88
Belize,BLZ,2010,79
Belize,BLZ,2019,69
Bhutan,BTN,1950,947
Bhutan,BTN,1960,1108
Bhutan,BTN,1970,1261
Bhutan,BTN,1980,1454
Bhutan,BTN,1990,1296
Bhutan,BTN,2000,796
Bhutan,BTN,2010,491
Bhutan,BTN,2019,287
