Entity,Code,Year,Avocados | 00000572 || Production | 005510 || tonnes
European Union (27) (FAO),,1961,380.0
European Union (27) (FAO),,1970,655.0
European Union (27) (FAO),,1980,7654.0
European Union (27) (FAO),,1990,67592.0
European Union (27) (FAO),,2000,68296.4
European Union (27) (FAO),,2010,101759.26
European Union (27) (FAO),,2021,152010.0
Lebanon,LBN,2000,3000.0
Lebanon,LBN,2010,8912.84
Lebanon,LBN,2021,18955.36
Micronesia (country),FSM,2000,0.0
Micronesia (country),FSM,2010,0.0
Micronesia (country),FSM,2021,0.0
South-eastern Asia (FAO),,1961,43320.0
South-eastern Asia (FAO),,1970,51090.0
South-eastern Asia (FAO),,1980,73876.0
South-eastern Asia (FAO),,1990,112592.0
South-eastern Asia (FAO),,2000,184571.0
South-eastern Asia (FAO),,2010,249747.0
South-eastern Asia (FAO),,2021,906705.44
Turkey,TUR,1990,101.0
Turkey,TUR,2000,300.0
Turkey,TUR,2010,1207.0
Turkey,TUR,2021,9081.0
