Entity,Code,Year,Compensation of employees (% of expense)
Brazil,BRA,2010,13.638643
Brazil,BRA,2020,10.314817
Germany,DEU,1972,12.017634
Germany,DEU,1980,9.4460535
Germany,DEU,1990,8.205143
Germany,DEU,2000,5.676192
Germany,DEU,2010,5.518601
Germany,DEU,2020,5.4333553
India,IND,1980,14.282394
India,IND,1990,11.176378
India,IND,2000,10.269131
India,IND,2010,8.881341
Netherlands,NLD,1980,10.824422
Netherlands,NLD,1990,9.151718
Netherlands,NLD,2000,7.474959
Netherlands,NLD,2010,6.638873
Netherlands,NLD,2020,7.52846
New Zealand,NZL,1972,25.147058
New Zealand,NZL,1980,23.221285
New Zealand,NZL,2010,24.17885
New Zealand,NZL,2020,21.892893
