Entity,Code,Year,"Number of new cases of diarrheal diseases per 100,000 people, in both sexes aged all ages"
Australia,AUS,1990,27947.207
Australia,AUS,1995,30070.74
Australia,AUS,2000,29909.412
Australia,AUS,2005,32973.2
Australia,AUS,2010,31423.598
Australia,AUS,2015,32189.697
Australia,AUS,2019,32318.344
Montenegro,MNE,1990,97153.16
Montenegro,MNE,1995,92783.76
Montenegro,MNE,2000,89016.85
Montenegro,MNE,2005,84133.07
Montenegro,MNE,2010,79311.07
Montenegro,MNE,2015,75751.36
Montenegro,MNE,2019,74565.41
Russia,RUS,1990,101695.02
Russia,RUS,1995,91475.086
Russia,RUS,2000,93053.44
Russia,RUS,2005,95615.125
Russia,RUS,2010,100591.21
Russia,RUS,2015,103248.29
Russia,RUS,2019,105833.35
Sudan,SDN,1990,112999.67
Sudan,SDN,1995,120740.87
Sudan,SDN,2000,125230.77
Sudan,SDN,2005,131464.67
Sudan,SDN,2010,132513.61
Sudan,SDN,2015,131078.62
Sudan,SDN,2019,131511.86
