Entity,Code,Year,Mismanaged plastic waste per capita (kg per year),"GDP per capita, PPP (constant 2017 international $)",Continent
Africa,,2019,10.46592827,,
Albania,ALB,2019,24.23915307,13655.665,
Algeria,DZA,2019,17.75899473,11627.28,
Angola,AGO,2019,7.445278869,6602.424,
Antigua and Barbuda,ATG,2019,6.463917526,23035.658,
Argentina,ARG,2019,10.40191152,22071.748,
Asia,,2019,8.667235444,,
Australia,AUS,2019,0.20894338,49379.094,
Barbados,BRB,2019,3.038327526,15954.803,
Belize,BLZ,2019,15.43846154,9028.552,
Benin,BEN,2019,11.29861876,3156.439,
Bosnia and Herzegovina,BIH,2019,16.82853681,14634.738,
Bulgaria,BGR,2019,0.445285714,23270.225,
Burkina Faso,BFA,2019,15.61429064,2110.0623,
Cambodia,KHM,2019,15.01152423,4464.2944,
Cameroon,CMR,2019,22.36814036,3756.5095,
China,CHN,2019,8.559308412,15977.764,
Comoros,COM,2019,69.51586369,3290.6506,
Cote d'Ivoire,CIV,2019,11.33934751,5126.6343,
Ecuador,ECU,2019,6.262058248,11390.217,
Egypt,EGY,2019,14.29961748,11180.697,
El Salvador,SLV,2019,3.361171367,9021.426,
Estonia,EST,2019,0.452488688,36153.434,
Europe,,2019,1.580226046,,
Georgia,GEO,2019,0.076807606,14989.258,
Grenada,GRD,2019,12.11607143,15393.791,
Guinea-Bissau,GNB,2019,10.65330557,1890.5331,
Guyana,GUY,2019,35.20434227,12820.489,
Haiti,HTI,2019,21.12829619,3101.5942,
Ireland,IRL,2019,0.547931176,86681.27,
Kazakhstan,KAZ,2019,2.92393941,26351.805,
Kenya,KEN,2019,5.514455815,4601.2114,
Kiribati,KIR,2019,0.627118644,1990.518,
Liberia,LBR,2019,8.087907636,1455.6377,
Libya,LBY,2019,27.81983178,22535.445,
Malaysia,MYS,2019,25.491518,27674.402,
Marshall Islands,MHL,2019,0.271186441,5647.067,
Morocco,MAR,2019,8.101776705,8217.599,
Mozambique,MOZ,2019,14.30652704,1285.1848,
Myanmar,MMR,2019,8.038338422,4829.5366,
North America,,2019,5.257716269,,
Oceania,,2019,3.240267755,,
Philippines,PHL,2019,37.23096275,8731.861,
Senegal,SEN,2019,4.029209622,3430.484,
Somalia,SOM,2019,0.002719679,1138.2859,
Sudan,SDN,2019,18.25672109,4133.1304,
Suriname,SUR,2019,39.47160069,18449.2,
Tanzania,TZA,2019,29.59055254,2577.6658,
Thailand,THA,2019,19.55720564,18003.672,
Trinidad and Tobago,TTO,2019,52.42939068,25306.617,
Turkey,TUR,2019,19.85029366,28150.059,
Vietnam,VNM,2019,11.53604528,10252.005,
Zimbabwe,ZWE,2019,35.83919426,2203.3967,
